300
BANDARSERIBEGAVA-AIZKARPATI 89:123
KEMEROVA-OKINAVA 119:11
DEMBAVA-KAVARSKA 11:12
SKAUDVILE-NUKUSU 11:120
VALLETA-BALATONS 11:121
ALAUKSTS-DORSETA 124:11
ALEKSOTA-OKINAVA 124:11
JAKUTSKA-KARPATI 128:11
ZLATOUSA-OLSTERA 11:13
VEZUVS-AUGSBURGA 130:11
GABORONE-RINGUVA 131:11
ZVIEDRIJA-PELTES 132:11
STAMBULA-ERFURTE 11:132
INSBRUKA-MASKAVA 133:11
KUNCEVA-KIROVSKA 11:134
ESENTUKI-KONAKRI 11:135
KIROVSKA-BIZERTA 135:11
HOPJORA-ESENTUKI 136:11
KZILORDA-VAIGUVA 136:11
JURBARKA-BEIRUTA 137:11
BORNMUTA-KANGARI 11:14
MASTIS-PARAGVAJA 14:11
BRJANSKA-SANHOSE 11:14
KZILORDA-LAUDERI 141:11
EVERESTS-VORKUTA 143:11
KAHOVSKA-MIASURA 11:144
TBILISI-BRJANSKA 144:11
INSBRUKA-KARPATI 11:144
MANAGVA-SIRDARJA 11:144
LUGANSKA-JELGAVA 15:11
VAGADUGU-NIAGARA 11:15
VORKUTA-ANGARSKA 11:15
NEBRASKA-POLTAVA 150:11
VORKUTA-PEREKOPS 11:16
SANPAULU-VORKUTA 11:16
KEMEROVA-KANDAVA 19:11
MERGUPE-REINJORA 11:26
RINGUVA-VINDHUKA 11:27
KARAKUMS-OLSTERA 11:28
ATLANTA-ALEKSOTA 11:29
KOVROVA-BALATONS 11:30
MELBURNA-KANDAVA 39:11
PALEMONA-LECKAVA 39:11
PLIMUTA-PEREKOPS 11:39
MENHETENA-PAMIRS 11:39
MEMFISA-VINDHUKA 46:11
ORENBURGA-NUKUSU 11:48
KINROSA-SIESARTE 11:50
VADAKSTE-SASEKSA 11:51
KAHOVSKA-BIZERTA 52:11
FOLKSTONA-NUKUSU 52:11
POLTAVA-RIODEORO 11:52
VAINUTA-VINDHUKA 54:11
HOLIVUDA-ROSTOVA 55:11
TAUNUSA-AMUDARJA 11:57
KOVROVA-HAMBURGA 11:59
KARAKUMS-KINROSA 11:63
TOSMARE-GABORONE 11:64
BEIRUTA-BARNAULA 65:11
NUKUSU-KOSTARIKA 11:67
EVERESTS-DEMBAVA 68:11
KEMEROVA-KARPATI 70:11
ERFURTE-KAVARSKA 11:74
ANGARSKA-KUZBASS 74:11
PELTES-TIRASPOLE 11:76
MANAGVA-VECSAULE 11:77
TAMBOVA-KARAKUMS 11:78
KAHOVSKA-DAUGAVA 79:11
OKSFORDA-DAUGAVA 84:11
NEBRASKA-HONIARA 11:85
ATLANTA-SOVETSKA 11:85
KANGARI-SOVETSKA 87:11
LECKAVA-VADAKSTE 11:89
JELGAVA-HOLIVUDA 11:89
TUKUMS-BRAZAVILA 90:11
ZLATOUSA-KUZBASS 11:90
MELNUPE-ZLATOUSA 91:11
MADEIRA-PALEMONA 11:95
RIODEORO-SASEKSA 96:11
ALAUKSTS-UTREHTA 98:11
MINESOTA-DUBULTI 113:110
BARNAULA-VAIGUVA 113:110
IVANOVA-VINDHUKA 110:115
PEREKOPS-MIASURA 116:110
DONBASS-BRJANSKA 110:117
ALAUKSTS-MELNUPE 110:117
KULAUTUVA-NUKUSU 117:110
MACESTA-ATABASKA 110:118
ENGELSA-MELBURNA 110:119
ANADIRA-VINDHUKA 119:110
KAVARSKA-DAUGAVA 121:110
TAURUPE-OKSFORDA 123:110
TARENTO-KEMEROVA 110:126
VINDHUKA-TEKSASA 110:128
SASNAVA-HONOLULU 110:128
SOVETSKA-MERGUPE 110:129
MANAUSA-DENKERKA 110:134
MALJORKA-MOLDOVA 135:110
PEIPUSS-BRJANSKA 110:135
TRIESTE-HOLIVUDA 135:110
RIODEORO-TORONTO 136:110
LUGANSKA-DAUGAVA 137:110
BALATONS-CIECERE 137:110
SKIEMONE-MERGUPE 139:110
PIEDRUJA-TEKSASA 110:140
TORONTO-KEMEROVA 110:141
SEVANS-BELGORODA 110:142
SASNAVA-DINKERSA 110:143
LUGANSKA-DEMBAVA 143:110
SOMERSETA-VEZUVS 110:144
KONAKRI-SANPAULU 145:110
DENKERKA-MELNUPE 110:147
OSTRAVA-STAMBULA 110:148
EKVADORA-HOPJORA 148:110
DEMBAVA-DENKERKA 110:149
KORDOVA-KIROVSKA 111:113
AVINJONA-LAUDERI 114:111
MACESTA-SINTAUTI 116:111
TORONTO-VECSAULE 117:111
ANADIRA-INSBURGA 117:111
VADAKSTE-MAIKOPA 111:122
VORKUTA-MINESOTA 111:122
KALKUTA-HONOLULU 123:111
AVINJONA-TEKSASA 127:111
BENDERI-ALAUKSTS 127:111
SOVETSKA-POLTAVA 129:111
EKVADORA-LINKUVA 129:111
KUNCEVA-DINKERSA 111:131
HAMBURGA-LIETUVA 133:111
INSBRUKA-BEIRUTA 111:133
ALTAJS-VERAKRUSA 111:133
BARNAULA-KALKUTA 111:134
SEVANS-BELOSTOKA 136:111
KZILORDA-KANBERA 111:136
LUGANSKA-OSTRAVA 136:111
JAKUTSKA-ROSTOVA 139:111
VORKUTA-KARAKUMS 139:111
VADAKSTE-KUMPOTE 140:111
RIODEORO-KUZBASS 145:111
TAMBOVA-JURBARKA 111:146
GLAZGOVA-DONBASS 147:111
KATVARI-SARAGOSA 111:147
KINGSTONA-ALTAJS 111:150
IRKUTSKA-DORSETA 150:111
OKINAVA-VECSAULE 112:116
INSBRUKA-TAIMIRA 112:116
VAGADUGU-PLIMUTA 112:117
AMUDARJA-PLIMUTA 120:112
SIESARTE-RUSTAVI 120:112
DELTUVA-RIODEORO 112:120
KARAKUMS-KOVROVA 122:112
RUSTAVI-EKVADORA 112:123
BARTUVA-PIEDRUJA 112:129
VARDURA-INSBRUKA 129:112
STAMBULA-BENDERI 112:130
KAUNATA-ANGARSKA 112:130
PEREKOPS-VAINUTA 130:112
SOVETSKA-OLSTERA 112:133
KUNCEVA-PIEDRUJA 112:134
ESENTUKI-MAIKOPA 112:134
OKINAVA-REINJORA 112:136
ANGARSKA-VARDURA 112:139
LIELUPE-RIODEORO 112:139
USUMBURA-LAUKUVA 139:112
VALLETA-REINJORA 112:142
MASTIS-BRAZAVILA 142:112
PIEDRUJA-TAIMIRA 112:142
ESENTUKI-KINROSA 112:142
HONIARA-PIEDRUJA 143:112
MASTIS-VERAKRUSA 112:143
POLTAVA-LUGANSKA 112:144
TUKUMS-PARAGVAJA 150:112
KUVEITA-KAHOVSKA 113:114
ANGARSKA-KANGARI 113:114
KARPATI-KARAKUMS 114:113
AUGSBURGA-KANNAS 113:115
AMUDARJA-MANAGVA 115:113
KUZBASS-PIEDRUJA 118:113
MANAUSA-PALEMONA 113:119
KARAKUMS-TOSMARE 113:120
BELFASTA-IZMAIRA 113:120
SIRDARJA-HARKOVA 126:113
HOLIVUDA-KANZASA 113:128
KOVROVA-STAMBULA 113:134
ENGELSA-SARAGOSA 113:135
TAGANROGA-LIZUMS 136:113
KARPATI-GABORONE 113:137
KAHOVSKA-IVANOVA 138:113
GURJEVA-KAVARSKA 113:140
ENGELSA-EVERESTS 140:113
HARKOVA-KARAKUMS 113:141
ZVIEDRIJA-KAMPIS 143:113
NEBRASKA-MACESTA 145:113
LIZUMS-BRAZAVILA 149:113
ANGARSKA-TRIESTE 150:113
JELGAVA-BELFASTA 114:115
FEODOSIJA-LIZUMS 114:116
LUGANSKA-BOSFORS 114:117
SANHOSE-ANGARSKA 118:114
KAVARSKA-SASEKSA 114:122
KONAKRI-VINDHUKA 123:114
TOLJATI-SKIEMONE 114:124
DUBULTI-LISABONA 114:129
REINJORA-IZMAIRA 131:114
DINKERSA-LAPLATA 132:114
SINTAUTI-KANGARI 114:134
JURBARKA-TAMPERE 114:134
SIESARTE-TBILISI 137:114
KIROVSKA-TAUNUSA 114:141
SIRDARJA-DEMBAVA 142:114
KRUSTPILS-MELARS 143:114
IRKUTSKA-LAUDERI 114:144
SANHOSE-KEMEROVA 114:145
PALEMONA-TORONTO 146:114
ATABASKA-BARTUVA 148:114
HOPJORA-KARAKUMS 150:114
GURJEVA-EKVADORA 114:150
KAVARSKA-MADRASA 115:120
RIODEORO-RIETAVA 122:115
VEZUVS-VIKTORIJA 115:123
BELFASTA-LECKAVA 124:115
SENTLUISA-KANNAS 115:124
KINROSA-MINESOTA 115:127
PEREKOPS-SANHOSE 131:115
SASNAVA-ZLATOUSA 115:132
SARAGOSA-KUTAISI 134:115
OLIMPS-SKAGERAKS 115:134
PALEMONA-IVANOVA 136:115
TOLJATI-STAMBULA 137:115
PANEMUNE-TORONTO 115:139
HOPJORA-SOVETSKA 139:115
AIZPUTE-REINJORA 115:141
SARANSKA-DENVERA 115:141
VAIVARI-IRKUTSKA 143:115
GLAZGOVA-MACESTA 143:115
KAHOVSKA-VAIVARI 115:143
BARNAULA-KANDAVA 143:115
PANEMUNE-MALNAVA 148:115
KANBERA-AMUDARJA 149:115
KANBERA-HONOLULU 117:116
SANPAULU-KANBERA 116:117
SALDUS-FOLKSTONA 117:116
SINTAUTI-DUBULTI 116:119
VERAKRUSA-TUKUMS 122:116
MALJORKA-TAUNUSA 123:116
INSBRUKA-LIELUPE 116:123
SASNAVA-KAVARSKA 116:124
SIESARTE-DELTUVA 124:116
MACESTA-PEREKOPS 116:125
KANDAVA-KRAKATAU 116:126
MADEIRA-BELFASTA 127:116
DINKERSA-TAMPERE 116:128
HOLIVUDA-TEKSASA 116:129
RAISKUMS-SUMATRA 116:130
NIAGARA-SIRDARJA 133:116
SAMAVS-TAGANROGA 116:135
VADAKSTE-KANDAVA 135:116
VAGADUGU-SASNAVA 136:116
REINJORA-KUVEITA 136:116
AMUDARJA-IZMAIRA 116:136
BRJANSKA-MADRASA 116:139
KUMPOTE-GLAZGOVA 116:139
TAMPERE-PIEDRUJA 141:116
VAIGUVA-KEMEROVA 116:141
VAINUTA-MELBURNA 116:146
SIRDARJA-VORKUTA 147:116
DINKERSA-LAUTERE 116:147
UTREHTA-VADAKSTE 116:148
ZLATOUSA-MERGUPE 116:148
KIROVSKA-KARPATI 118:117
HONOLULU-OSTRAVA 125:117
MALJORKA-HARKOVA 127:117
MASTIS-TIRASPOLE 117:129
VECSAULE-ERFURTE 117:131
EKVADORA-TAURUPE 133:117
MELARS-KULAUTUVA 136:117
ESENTUKI-SASNAVA 137:117
IVANOVA-OKSFORDA 117:137
HOLIVUDA-KUPRAVA 141:117
DONBASS-AMUDARJA 117:141
VENTSPILS-NUKUSU 142:117
MEMFISA-BELFASTA 145:117
KANBERA-KEMEROVA 117:145
SASEKSA-REINJORA 117:147
TAURUPE-INSBURGA 149:117
NUKUSU-HONDURASA 118:125
TARENTO-SKIEMONE 118:127
SAMAVS-FLANDRIJA 118:128
KOVROVA-KEMEROVA 118:128
DENKERKA-ATLANTA 129:118
INSBRUKA-MAIKOPA 118:130
SASNAVA-BALATONS 118:130
LISABONA-BARTUVA 132:118
ALEKSOTA-MEMFISA 132:118
DINKERSA-POLTAVA 133:118
LAUTERE-SARAGOSA 118:133
LAUTERE-SOVETSKA 134:118
DENKERKA-ENGELSA 140:118
VAIVARI-VAGADUGU 140:118
CIECERE-ATABASKA 142:118
KRAKOVA-KARAKUMS 118:142
NEBRASKA-MERGUPE 118:146
VORKUTA-INSBURGA 118:149
KONAKRI-RIODEORO 118:149
KORDOVA-EVERESTS 119:121
VALLETA-VECSAULE 123:119
KIROVSKA-TARENTO 124:119
HONOLULU-IZMAIRA 119:124
MERGUPE-OKSFORDA 124:119
TAMBOVA-IRKUTSKA 119:125
LECKAVA-KRAKATAU 119:126
VARDURA-JURBARKA 132:119
BIZERTA-VADAKSTE 119:132
PEIPUSS-ALAUKSTS 135:119
LUCAVSALA-ELTONS 119:135
VENERS-ORENBURGA 136:119
DAUGAVA-PEREKOPS 119:138
IZMAIRA-INSBRUKA 140:119
PRIEKULE-DENVERA 119:142
GURJEVA-MALJORKA 119:144
KANNAS-MENHETENA 147:119
EIFRATA-LABANOVA 119:147
ALAUKSTS-KUVEITA 147:119
VECSAULE-MADEIRA 119:149
ESENTUKI-LINKUVA 149:119
MADRASA-LUGANSKA 101:12
ALAUKSTS-TARENTO 102:12
INSBURGA-KONAKRI 103:12
VAGADUGU-ENGELSA 12:104
BARNAULA-TAURUPE 12:107
KRAKOVA-KZILORDA 12:107
BENDERI-BALATONS 12:108
SINTAUTI-PRIPETE 12:108
TOSMARE-BRJANSKA 108:12
SIESARTE-VAIGUVA 110:12
KRAKATAU-TARENTO 110:12
NEBRASKA-LINKUVA 111:12
KAVARSKA-DORSETA 111:12
KALKUTA-LABANOVA 12:115
KZILORDA-VAIVARI 115:12
INSBRUKA-LIETUVA 116:12
TORONTO-MINESOTA 12:117
LIZUMS-TIRASPOLE 12:118
SARAGOSA-TAMBOVA 121:12
MINESOTA-KOVROVA 125:12
OLIMPS-KALABRIJA 12:13
TUKUMS-FLANDRIJA 12:13
KARAKUMS-LAUTERE 12:131
MALNAVA-VAGADUGU 12:133
PELTES-SENTLUISA 133:12
KULAUTUVA-INESIS 12:135
BARTUVA-PRIEKULE 12:136
KINROSA-AMUDARJA 12:136
SASEKSA-MALJORKA 12:137
VADAKSTE-KUPRAVA 137:12
HONOLULU-MALNAVA 138:12
BORNMUTA-GURJEVA 139:12
KARAKUMS-SUMATRA 12:139
TARENTO-BELFASTA 12:139
OKSFORDA-KONAKRI 14:12
BORNMUTA-MIASURA 12:140
KEMEROVA-ARARATS 140:12
SALANTA-VINDHUKA 140:12
TBILISI-STAMBULA 140:12
EVERESTS-SANHOSE 12:141
DINKERSA-ROSTOVA 141:12
SARANSKA-KANGARI 12:143
INSBRUKA-LAUTERE 12:145
VECSAULE-DORSETA 12:145
STAMBULA-TRIESTE 12:147
NEBRASKA-ARARATS 16:12
EIFRATA-EVERESTS 12:16
SIESARTE-PLIMUTA 17:12
PRIPETE-ALAUKSTS 12:17
TORONTO-SOVETSKA 12:19
ESENTUKI-TOLJATI 12:21
NEBRASKA-LAUKUVA 21:12
KEMEROVA-OSTRAVA 23:12
SIRDARJA-MAIKOPA 12:23
OKSFORDA-KALKUTA 23:12
MANAGVA-DINKERSA 12:24
MELNUPE-RIODEORO 12:26
TRIESTE-VAGADUGU 26:12
BOSFORS-IRKUTSKA 27:12
KANDAVA-EVERESTS 12:28
MALJORKA-AIZPUTE 28:12
MINESOTA-TEKSASA 29:12
VECSAULE-DEMBAVA 31:12
SANPAULU-SASNAVA 31:12
EVERESTS-VAINUTA 32:12
SARAGOSA-VALLETA 32:12
BARNAULA-KANGARI 12:33
BARTUVA-VECSAULE 12:36
LAUDERI-GABORONE 12:36
SKIEMONE-KORDOVA 37:12
HOLIVUDA-SANHOSE 12:38
KRAKATAU-LINKUVA 40:12
BENDERI-RIODEORO 12:40
KALKUTA-DENKERKA 12:41
USUMBURA-BEIRUTA 12:42
LABANOVA-MELNUPE 44:12
ANADIRA-DENKERKA 45:12
SOMERSETA-TUKUMS 12:46
ATABASKA-MANAGVA 49:12
LIBREVILA-VENERS 12:49
NEBRASKA-DEMBAVA 50:12
LAPLATA-PEREKOPS 12:51
NEBRASKA-KATVARI 12:52
PEIPUSS-IRKUTSKA 12:55
HOLIVUDA-TAIMIRA 12:57
SOVETSKA-TOLJATI 57:12
KANBERA-SIESARTE 58:12
IRKUTSKA-LAPLATA 62:12
HARKOVA-ZLATOUSA 12:62
ESENTUKI-LIETUVA 63:12
KATVARI-RIODEORO 12:64
MACESTA-EKVADORA 12:64
KIROVSKA-MIASURA 12:65
DENVERA-REINJORA 12:66
PIEDRUJA-OSTRAVA 66:12
NUKUSU-KALABRIJA 12:66
DUBULTI-IRKUTSKA 12:67
IVANOVA-AVINJONA 12:68
RINGUVA-BELFASTA 12:72
TAMBOVA-VAGADUGU 12:74
VECSAULE-EIFRATA 12:75
LIELUPE-MINESOTA 12:78
ESENTUKI-MOLDOVA 80:12
IZMAIRA-BORNMUTA 82:12
SIESARTE-SANHOSE 83:12
MERGUPE-SINTAUTI 84:12
VECSAULE-IVANOVA 86:12
INSBRUKA-KUMPOTE 12:88
BREDFORDA-PAMIRS 90:12
DAUGAVA-RIODEORO 12:90
BORNMUTA-MASKAVA 91:12
ATABASKA-MEMFISA 12:94
SOMERSETA-MAPUTU 98:12
KUNCEVA-VECSAULE 12:99
OKINAVA-DENKERKA 120:122
SALANTA-INSBRUKA 122:120
SEVANS-KOSTARIKA 120:122
LAUDERI-SIESARTE 123:120
KALKUTA-SARANSKA 120:124
SASEKSA-KEMEROVA 120:125
KARAKUMS-PLIMUTA 120:127
KANNAS-GALGAUSKA 127:120
KIROVSKA-KINROSA 120:129
PORTOVANA-VENERS 120:131
NUKUSU-ZALCBURGA 131:120
DEMBAVA-IRKUTSKA 120:132
LECKAVA-MELBURNA 120:133
RIETAVA-MELBURNA 120:134
RIODEORO-BOSFORS 134:120
KARAKUMS-VARDURA 120:137
SIRDARJA-KUPRAVA 137:120
AMUDARJA-KUZBASS 138:120
DAUGAVA-BARNAULA 120:138
NUKUSU-LUCAVSALA 120:139
TAMBOVA-USUMBURA 120:141
PIEDRUJA-MADEIRA 120:142
OLIMPS-MENHETENA 144:120
MALJORKA-KANGARI 120:144
PAMIRS-HONDURASA 120:146
VAIDAVA-INSBRUKA 120:146
SARANSKA-PLIMUTA 128:121
MAIKOPA-INSBURGA 129:121
PEREKOPS-IVANOVA 132:121
AIZPUTE-KRAKATAU 121:133
KZILORDA-LAPLATA 133:121
SARAGOSA-VAIGUVA 134:121
LUGANSKA-VAIGUVA 135:121
BALATONS-VAINUTA 135:121
IRKUTSKA-HONIARA 121:136
GURJEVA-IRKUTSKA 121:136
PITSBURGA-SALDUS 121:136
ALAUKSTS-TAMBOVA 138:121
LISABONA-LAUKUVA 139:121
KRAKOVA-SOVETSKA 121:139
KEMEROVA-DELTUVA 140:121
NUKUSU-BREDFORDA 121:140
POLTAVA-BRJANSKA 121:141
SARAGOSA-BEBRUSI 143:121
KUPRAVA-GABORONE 121:145
LISABONA-DORSETA 145:121
LABANOVA-TAURUPE 146:121
RINGUVA-OKSFORDA 121:147
MAPUTU-PRETORIJA 121:147
HONOLULU-BOSFORS 121:148
PELTES-KINGSTONA 148:121
PANEMUNE-MERGUPE 122:124
TAMPERE-SOVETSKA 124:122
GURJEVA-VAGADUGU 122:125
PAMIRS-PARAGVAJA 125:122
JAKUTSKA-ATLANTA 126:122
KARPATI-EVERESTS 122:127
DENKERKA-HONIARA 122:128
MADEIRA-VINDHUKA 129:122
MALNAVA-PRIEKULE 122:130
MACESTA-HONOLULU 135:122
TOSMARE-SINTAUTI 136:122
RAISKUMS-TEKSASA 122:137
AIZPUTE-SOVETSKA 122:140
SANHOSE-NEBRASKA 140:122
SOVETSKA-BENDERI 122:141
INSBRUKA-KANZASA 122:142
OKINAVA-EVERESTS 122:144
STAMBULA-LIETUVA 146:122
KAHOVSKA-DENVERA 122:148
KATVARI-MALJORKA 149:122
VAGADUGU-LAPLATA 122:150
EKVADORA-KUZBASS 125:123
KRAKATAU-BIZERTA 123:126
PIEDRUJA-AIZPUTE 123:126
LABANOVA-TARENTO 129:123
KANNAS-ZVIEDRIJA 123:129
TRIESTE-ZLATOUSA 134:123
JAKUTSKA-DUBULTI 135:123
SIESARTE-POLTAVA 137:123
SIESARTE-CIECERE 123:137
BOSFORS-GABORONE 123:138
TEKSASA-BRJANSKA 139:123
MELBURNA-UTREHTA 143:123
JAKUTSKA-KUTAISI 123:143
KRAKOVA-EVERESTS 123:144
LIZUMS-KOSTARIKA 123:145
HANNOVERE-INESIS 124:125
KORDOVA-DINKERSA 124:126
MADRASA-PANEMUNE 126:124
KIROVSKA-EIFRATA 131:124
EIFRATA-GABORONE 124:137
KANDAVA-SARAGOSA 124:139
DENKERKA-EIFRATA 140:124
VALLETA-LABANOVA 124:142
VECSAULE-ATLANTA 124:142
SANHOSE-BALATONS 124:143
RAISKUMS-KUPRAVA 143:124
SANPAULU-VAIDAVA 144:124
VAIDAVA-JAKUTSKA 124:148
INSBURGA-KUTAISI 150:124
UTREHTA-BARNAULA 126:125
MAPUTU-NOVGORODA 125:127
SARAGOSA-TOLJATI 129:125
ATABASKA-OKINAVA 129:125
TAGANROGA-PAMIRS 130:125
DUBULTI-PALEMONA 125:131
VINDHUKA-MOLDOVA 131:125
SOVETSKA-VAIVARI 125:132
BORNMUTA-LAUTERE 125:134
BORNMUTA-OLSTERA 125:135
MACESTA-SARAGOSA 125:135
SUMATRA-IRKUTSKA 136:125
BEBRUSI-PANEMUNE 136:125
OKSFORDA-KUZBASS 138:125
ZALCBURGA-ATLASS 125:139
PEREKOPS-VARDURA 143:125
JURBARKA-TRIESTE 143:125
DORSETA-VAGADUGU 143:125
HAMBURGA-DORSETA 146:125
MADEIRA-SINTAUTI 147:125
RIETAVA-ALEKSOTA 125:148
KIROVSKA-OSTRAVA 148:125
STAMBULA-LECKAVA 150:125
DENVERA-PANEMUNE 127:126
STAMBULA-DAUGAVA 129:126
ANGARSKA-TOSMARE 126:129
PRETORIJA-KAMPIS 129:126
GABORONE-RIETAVA 130:126
LISABONA-TARENTO 131:126
HONOLULU-RIETAVA 140:126
INSBURGA-VALLETA 141:126
DONBASS-SKIEMONE 126:142
LECKAVA-SARAGOSA 126:142
PRIEKULE-MIASURA 126:146
JELGAVA-BARNAULA 126:147
MEMFISA-PANEMUNE 147:126
JAKUTSKA-PLIMUTA 148:126
KIROVSKA-IZMAIRA 126:149
KUZBASS-JURBARKA 126:150
PRIEKULE-VAIGUVA 150:126
ALEKSOTA-MADEIRA 129:127
BOSFORS-ZLATOUSA 132:127
BENDERI-PIEDRUJA 133:127
MELNUPE-GABORONE 127:135
MAIKOPA-AMUDARJA 142:127
KRAKOVA-ALEKSOTA 127:142
LABANOVA-KAUNATA 143:127
MASKAVA-VADAKSTE 127:145
SKIEMONE-SUMATRA 147:127
IRKUTSKA-TARENTO 132:128
BALATONS-BEBRUSI 134:128
ZLATOUSA-BIZERTA 128:135
DORSETA-USUMBURA 141:128
VECSAULE-TARENTO 128:141
BARTUVA-EVERESTS 128:143
REINJORA-MELNUPE 143:128
BARTUVA-SIRDARJA 128:145
MELARS-FOLKSTONA 130:129
ARARATS-EKVADORA 129:133
VARDURA-BORNMUTA 136:129
HARKOVA-ALEKSOTA 129:137
GLAZGOVA-OSTRAVA 138:129
VAIGUVA-HAMBURGA 129:143
GURJEVA-ANGARSKA 129:145
INSBURGA-VAIDAVA 145:129
SOMERSETA-LIZUMS 129:146
HONOLULU-CIECERE 129:146
SASNAVA-HAMBURGA 129:148
MANAGVA-PANEMUNE 129:148
AMUDARJA-VORKUTA 148:129
BORNMUTA-TORONTO 129:149
KRAKOVA-JAKUTSKA 129:150
INSBURGA-SUMATRA 129:150
JELGAVA-MINESOTA 13:101
GALGAUSKA-SAMAVS 13:101
BRJANSKA-OSTRAVA 102:13
JELGAVA-HAMBURGA 13:103
TRIESTE-BELFASTA 13:106
IVANOVA-HONOLULU 13:107
PIEDRUJA-KOVROVA 110:13
KARAKUMS-LAUDERI 13:112
MANAGVA-IRKUTSKA 13:114
TRIESTE-NEBRASKA 13:114
AVINJONA-HARKOVA 116:13
KAHOVSKA-MEMFISA 13:118
KRAKOVA-GLAZGOVA 13:119
BORNMUTA-VORKUTA 13:122
MASKAVA-SOVETSKA 13:123
VAIDAVA-HONOLULU 13:125
ANGARSKA-ANADIRA 13:125
TAMPERE-ATABASKA 126:13
USUMBURA-KUPRAVA 128:13
PITSBURGA-PELTES 13:129
DORTMUNDE-SEVANS 13:130
SIESARTE-MASKAVA 135:13
KEMEROVA-KANZASA 135:13
VORKUTA-IRKUTSKA 13:135
BEBRUSI-ALEKSOTA 13:139
MOLDOVA-ALEKSOTA 13:140
SUMATRA-DENKERKA 142:13
BARTUVA-PALEMONA 13:142
KANDAVA-NEBRASKA 13:142
LECKAVA-PEREKOPS 13:144
VAIVARI-MELBURNA 144:13
KRAKATAU-TBILISI 13:144
RIODEORO-TOSMARE 145:13
SOVETSKA-DENVERA 13:147
UTREHTA-IRKUTSKA 13:147
KIROVSKA-KANGARI 13:148
ARARATS-LABANOVA 13:150
ATLANTA-SIESARTE 13:17
SINTAUTI-BIZERTA 13:19
ELBRUSS-PANEMUNE 19:13
VARDURA-HOLIVUDA 22:13
PIEDRUJA-LECKAVA 23:13
VADAKSTE-BOSFORS 13:24
KANGARI-REINJORA 13:24
POLTAVA-BARNAULA 13:25
SANPAULU-KUTAISI 13:26
TARENTO-SARANSKA 13:28
BENDERI-SIESARTE 28:13
GLAZGOVA-TAMPERE 31:13
VAIDAVA-RAISKUMS 13:31
BALATONS-OSTRAVA 31:13
HARKOVA-DENKERKA 13:32
TIRASPOLE-OLIMPS 32:13
MASKAVA-KAHOVSKA 13:33
KALKUTA-JAKUTSKA 13:33
SINTAUTI-KUMPOTE 13:35
SANPAULU-SANHOSE 13:35
MALJORKA-VAIDAVA 36:13
MINESOTA-LINKUVA 37:13
KINGSTONA-SEVANS 13:39
TOSMARE-KIROVSKA 40:13
MOLDOVA-BRJANSKA 13:42
KUZBASS-MELBURNA 13:44
ANADIRA-SARANSKA 44:13
MANAUSA-JURBARKA 13:45
SARANSKA-KAUNATA 45:13
BARNAULA-DUBULTI 13:47
INSBRUKA-SUMATRA 13:48
VAIGUVA-KAHOVSKA 13:52
MERGUPE-KRAKATAU 53:13
ANGARSKA-MIASURA 13:54
RINGUVA-MELBURNA 13:57
MAIKOPA-AVINJONA 13:57
GLAZGOVA-DUBULTI 59:13
BOSFORS-SIESARTE 59:13
VEZUVS-LUCAVSALA 61:13
SUMATRA-ZLATOUSA 62:13
BIZERTA-BELFASTA 13:62
SARAGOSA-BENDERI 63:13
KORDOVA-SARANSKA 13:63
REDRIVERA-SAMAVS 13:64
GLAZGOVA-VAINUTA 64:13
TORONTO-VAGADUGU 65:13
ELBRUSS-SIRDARJA 13:66
VAIVARI-ALEKSOTA 13:67
MERGUPE-VECSAULE 68:13
NEBRASKA-ANADIRA 13:68
VINDHUKA-ATLANTA 13:69
TOSMARE-MALJORKA 69:13
KARAKUMS-EIFRATA 13:69
LIETUVA-AVINJONA 13:73
NEBRASKA-LECKAVA 73:13
INESIS-FOLKSTONA 73:13
KEMEROVA-PLIMUTA 75:13
KRAKOVA-LISABONA 13:77
SANPAULU-KUPRAVA 77:13
ZLATOUSA-OSTRAVA 79:13
VERAKRUSA-MAPUTU 79:13
REINJORA-MEMFISA 79:13
KAVARSKA-IZMAIRA 13:81
MELARS-SKAGERAKS 13:84
VINDHUKA-BEIRUTA 13:84
HONDURASA-ALATAU 85:13
RINGUVA-KAHOVSKA 13:87
KOVROVA-ANGARSKA 13:88
RIETAVA-KAHOVSKA 13:89
RUSTAVI-STAMBULA 13:93
NEBRASKA-KAUNATA 95:13
POLTAVA-ANGARSKA 13:97
KZILORDA-KANDAVA 99:13
VAIVARI-SIRDARJA 99:13
VECSAULE-OLSTERA 130:132
BALATONS-DAUGAVA 133:130
UTREHTA-KARAKUMS 135:130
MOLDOVA-JAKUTSKA 130:136
ERFURTE-PIEDRUJA 136:130
SARAGOSA-TBILISI 137:130
MALNAVA-ALAUKSTS 130:138
USUMBURA-TBILISI 130:140
RUSTAVI-OKSFORDA 130:140
PRETORIJA-SEVANS 144:130
ALEKSOTA-PEIPUSS 145:130
TBILISI-EVERESTS 145:130
DENKERKA-TRIESTE 148:130
KARPATI-SARANSKA 130:149
GABORONE-KUMPOTE 149:130
VAIGUVA-VADAKSTE 131:134
TAMBOVA-EVERESTS 131:137
KAUNATA-ATABASKA 131:139
KAVARSKA-MADEIRA 131:141
KANNAS-PRETORIJA 131:141
KATVARI-KZILORDA 131:143
ARARATS-INSBURGA 131:143
ESENTUKI-KARPATI 131:144
