300
KANTONA-MALJORKA 106:102
AMUDARJA-HARBINA 102:108
PILZENE-DOTMUNDA 102:109
HAMBURGA-VAIVARI 113:102
PEDEDZE-JOKOHOMA 115:102
RADOPOLE-LUCERNA 102:115
HELSINKI-POCIEMS 102:116
MARIANNAS-VENERS 117:102
FLORENCE-OLSTERA 118:102
BELMANTA-TALLINA 102:119
MINHENE-BRAITONA 119:102
JITLANDE-KALTENE 120:102
LOZANNA-INSBURGA 121:102
EGLAINE-PEREKOPS 126:102
MEISENE-JITLANDE 102:126
EKVADORA-CIECERE 128:102
MANITOBA-BOSTONA 102:131
VETERNS-OKLAHOMA 136:102
SLOCENE-SIESARTE 137:102
CIECERE-LITLROKA 102:138
KANNAS-MALAIZIJA 102:139
SEVERNA-MINDANAO 139:102
TAURUPE-BANDUNGA 102:140
BELGORODA-MALABO 102:140
BAMAKO-TERNOPOLE 144:102
BELGORODA-VEZUVS 145:102
BRAITONA-OREGONA 102:145
PEREKOPS-UKRAINA 102:148
PILZENE-MELBURNA 148:102
RAVENNA-KEMEROVA 149:102
BALATONS-TAIZEME 103:108
LONDONA-VALGUNDE 108:103
HONIARA-BELMANTA 103:110
KRETINGA-BERGENA 103:112
LABANOVA-ZENTENE 103:115
SKIEMONE-BENDERI 115:103
GULBENE-LITLROKA 117:103
PILTENE-BANGKOKA 119:103
LOKARNA-FERMENTA 123:103
PILZENE-FERMENTA 124:103
BRAITONA-PUMPENI 103:124
EGLAINE-JITLANDE 103:124
SIRDARJA-AMAZONE 103:125
KAZDANGA-SEVERNA 103:127
BENDERI-PEREKOPS 103:129
OKLAHOMA-LONDONA 103:129
PALERMO-KOSTROMA 129:103
MIASURA-STOMBOLI 103:129
HONKONGA-OLSTERA 134:103
VERDENA-GALIPOLE 134:103
DOTMUNDA-HAVANNA 103:139
VALGUNDE-LOZANNA 103:140
PEDEDZE-PEREKOPS 140:103
BERGENA-BANDUNGA 144:103
KUNLUNS-SKIEMONE 147:103
MERGUPE-LOTRINGA 103:147
RANGUNA-KEMEROVA 148:103
HELSINKI-MEISENE 104:105
MELARS-TIRASPOLE 104:105
KATMANDU-KAPZEME 104:106
VETERNS-TURMANTA 109:104
AMAZONE-SKIEMONE 117:104
DURBANA-STOMBOLI 120:104
HAMBURGA-KURZEME 104:120
BANGKOKA-KANGARI 120:104
SKIEMONE-MERGUPE 123:104
GUBERNIJA-VEZUVS 125:104
SIESARTE-HOPJORA 104:132
SALIENA-KRETINGA 134:104
DENKERKA-MIASURA 104:135
GULBENE-DOTMUNDA 104:135
HERSONA-INSBURGA 137:104
KATMANDU-OLSTERA 137:104
SEVERNA-SARAGOSA 139:104
GULBENE-EKVADORA 141:104
LOTRINGA-SALVANA 104:141
CINCINATI-BUFALO 143:104
LITLROKA-KUNLUNS 104:146
HAIFONA-KORNVOLA 147:104
RAVENNA-JOKOHOMA 147:104
KANNAS-CINCINATI 104:147
MADEIRA-JURBARKA 148:104
BALATONS-BEBRENE 104:149
ANADIRA-AVINJONA 104:149
TOBAGO-ZVIEDRIJA 106:105
SARAGOSA-ABAKANA 105:110
VALGUNDE-PALERMO 105:114
PORTORIKO-KAMPIS 116:105
CINDAO-UGUNSZEME 105:118
SIESARTE-OGLAINE 105:122
HUDZONA-SKIEMONE 122:105
LAUDERI-BANGKOKA 105:123
VENERS-KILKENIJA 105:124
MELNUPE-VALGUNDE 105:126
PRETORIJA-MONAKO 105:126
DENKERKA-BERGENA 105:127
MALABO-TERNOPOLE 127:105
TRAPENE-RADOPOLE 128:105
PEREKOPS-ARAGONA 105:130
JANOPOLE-MEISENE 105:130
SALVANA-KROIDONA 137:105
BRISTOLE-HUDZONA 105:138
BRAITONA-TRAPENE 105:140
KEMEROVA-PEDEDZE 105:142
STOMBOLI-HONIARA 142:105
SAPORO-BELGORODA 142:105
PALEMONA-KURZEME 105:143
SORBONNA-MIASURA 144:105
BORNEO-BELGORODA 145:105
VENERS-MARTINIKA 105:145
SALDUS-VIKTORIJA 105:147
STOKHOLMA-KALJAO 105:147
RIODEORO-ALUKSNE 105:147
GUBERNIJA-OLIMPS 148:105
KZILORDA-HARBINA 105:149
BEBRENE-RADOPOLE 150:105
HAVANNA-FLORENCE 150:105
VAIVARI-KEMEROVA 106:107
USTRONE-BRISTOLE 108:106
ATLASS-FLANDRIJA 106:110
BORNEO-MURMANSKA 106:110
RIODEORO-SALIENA 106:111
GARONNA-PALEMONA 115:106
SAIGONA-OKLAHOMA 117:106
STOMBOLI-HAVANNA 106:117
BANGKOKA-BERGENA 106:118
CEILONA-BABRUNGA 119:106
VALGUNDE-PEDEDZE 106:120
VESTENDE-LAZDONA 106:121
JITLANDE-KATVARI 121:106
MADEIRA-RIODEORO 106:121
DENVERA-MELBURNA 122:106
PALEMONA-VETERNS 106:124
MUKDENA-ALEKSOTA 127:106
CEILONA-MINDANAO 127:106
OREGONA-LOTRINGA 128:106
VALGUNDE-BALDONE 128:106
JURBARKA-ABADANA 106:130
TAIZEME-OKSFORDA 132:106
VERMONTA-VETERNS 106:133
BALATONS-MBABANE 106:133
SKAGERAKS-ATLASS 137:106
PALEMONA-KALVENE 106:138
LIELUPE-KRETINGA 106:142
MANITOBA-SUMATRA 142:106
BAMAKO-STOKHOLMA 143:106
MALABO-BORNHOLMA 145:106
JITLANDE-HAVANNA 106:146
MELBURNA-LOZANNA 106:150
AMUDARJA-PASIENA 107:108
OKSFORDA-LONDONA 107:108
BABRUNGA-HAIFONA 107:115
ZENTENE-KAZDANGA 115:107
VENERS-HONDURASA 107:117
USTRONE-KROIDONA 117:107
KANGARI-MELBURNA 119:107
LABANOVA-TAMPERE 120:107
KURZEME-KORNVOLA 120:107
VIKTORIJA-KANNAS 121:107
KALVARIJA-MONAKO 107:127
BRAITONA-USTRONE 107:128
GALIPOLE-BEBRENE 107:128
DENKERKA-RAVENNA 107:129
PUMPENI-HAMBURGA 130:107
FERMENTA-ARIZONA 107:133
OGLAINE-LOTRINGA 134:107
KATMANDU-ABADANA 107:134
JURBARKA-BENGAZI 107:135
TERNOPOLE-MELARS 135:107
GULBENE-JITLANDE 107:136
KATVARI-MINESOTA 107:136
KANTONA-BRAITONA 136:107
KATMANDU-MEISENE 136:107
UGUNSZEME-PELTES 138:107
UKRAINA-KZILORDA 139:107
STOMBOLI-TAIVANA 107:139
KONAKRI-BRISTOLE 107:143
EGLAINE-STOMBOLI 146:107
UKRAINA-MINDANAO 148:107
DOTMUNDA-KALVENE 109:108
AMAZONE-AVINJONA 110:108
AMUDARJA-BOSFORS 111:108
USTRONE-VALGUNDE 108:115
ZENTENE-JURBARKA 115:108
DOTMUNDA-SALVANA 108:116
LOTRINGA-LONDONA 108:117
LOTRINGA-ABADANA 108:120
MELNUPE-DENKERKA 120:108
GABORONE-SALVANA 108:121
LIVORNA-LABANOVA 122:108
ARIZONA-NIKOPOLE 122:108
MUKDENA-RADOPOLE 122:108
LUCERNA-BALATONS 124:108
KALJAO-PORTORIKO 126:108
ALTAJS-PORTORIKO 108:126
SALIENA-RADOPOLE 127:108
OKSFORDA-ABADANA 108:127
KANBERA-MANITOBA 108:129
LOZANNA-RIODEORO 129:108
KAMPIS-KUSTANAJA 108:129
MALJORKA-ARIZONA 108:131
KALVENE-VESTENDE 108:134
TOLEDO-ZVIEDRIJA 137:108
KARTENA-SORBONNA 139:108
DOTMUNDA-SAIGONA 108:142
PEDEDZE-SIESARTE 143:108
MIASURA-KAZDANGA 109:111
SIESARTE-MEISENE 109:113
LONDONA-TURMANTA 113:109
JOKOHOMA-KAJENNA 109:113
PALEMONA-KAPZEME 109:114
KALVENE-AVINJONA 114:109
NIKOPOLE-DURBANA 109:118
SAMAVS-MALAIZIJA 109:121
VALGUNDE-DAIVANA 109:123
OKLAHOMA-GULBENE 109:123
KONAKRI-FERMENTA 109:123
SALDUS-VENTSPILS 109:124
TURMANTA-TAURUPE 125:109
SLOCENE-FLORENCE 109:125
HERSONA-TURMANTA 125:109
MELBURNA-OLSTERA 109:126
BALATONS-BALDONE 109:128
PUMPENI-MINESOTA 129:109
KANGARI-MANITOBA 109:129
DENKERKA-GARONNA 109:129
KALTENE-BANDUNGA 130:109
SALASPILS-TOBAGO 109:130
DENVERA-KORNVOLA 109:130
MINESOTA-MERGUPE 131:109
USTRONE-VESTENDE 109:136
TAIZEME-GLAZGOVA 141:109
LITLROKA-TAMPERE 145:109
NIKOPOLE-RAUDONE 109:145
KONAKRI-BABRUNGA 109:147
TOSMARE-EKVADORA 109:147
IZMAIRA-JURBARKA 148:109
HELSINKI-MAKENZI 109:148
HONKONGA-KURZEME 109:149
ZVIEDRIJA-KALJAO 11:100
PLATONE-HONKONGA 105:11
TURMANTA-LOKARNA 11:106
BERGENA-VESTENDE 106:11
OKLAHOMA-MINHENE 11:107
KALVENE-LISABONA 109:11
STOKHOLMA-BORNEO 11:110
BRAITONA-MADEIRA 111:11
KUNLUNS-KZILORDA 112:11
PORTONOVA-BAMAKO 112:11
VESTENDE-KANGARI 112:11
SKAGERAKS-BORNEO 11:113
KZILORDA-LIVORNA 11:115
PUMPENI-FLORENCE 11:116
VESTENDE-MERGUPE 120:11
HAMBURGA-MADEIRA 11:120
HAVANNA-AMUDARJA 120:11
HAMBURGA-SUMATRA 11:121
BANDUNGA-LOKARNA 11:124
KUSTANAJA-KALJAO 124:11
HARBINA-BANGKOKA 125:11
KAMPIS-TAGANROGA 11:128
REINJORA-HERSONA 11:129
HARBINA-LOTRINGA 130:11
DENKERKA-PALERMO 11:136
KAJENNA-BRISTOLE 138:11
HAIFONA-HONKONGA 138:11
AMUDARJA-BERGENA 11:140
FERMENTA-HAVANNA 11:141
BEBRENE-PEREKOPS 142:11
MARTINIKA-BORNEO 143:11
SALIENA-VESTENDE 148:11
OKLAHOMA-OREGONA 11:15
MINESOTA-GULBENE 11:150
GARONNA-FLORENCE 16:11
VERMONTA-ALUKSNE 11:20
AMAZONE-NIKOPOLE 20:11
VAIVARI-MINESOTA 11:21
JITLANDE-SALVANA 11:24
DUBLINA-GOTLANDE 25:11
TAMPERE-OKSFORDA 11:26
BELGORODA-MASTIS 28:11
RADOPOLE-BOSTONA 11:32
GLAZGOVA-VARDURA 32:11
HERSONA-LABANOVA 37:11
MINDANAO-KURZEME 11:39
KANTONA-VESTENDE 41:11
LOTRINGA-ARAGONA 11:41
HONKONGA-RANGUNA 11:42
POCIEMS-FLORENCE 45:11
SALVANA-TURMANTA 46:11
LABANOVA-VERDENA 11:47
KALJAO-VIKTORIJA 54:11
STOMBOLI-SUMATRA 56:11
RAUDONE-EKVADORA 59:11
TERNOPOLE-OLIMPS 64:11
DOTMUNDA-ARAGONA 11:64
DENVERA-SIESARTE 65:11
RADOPOLE-RAVENNA 11:66
AIDAHO-NOVGORODA 66:11
TAURUPE-JURBARKA 70:11
MINHENE-VALGUNDE 11:71
JANOPOLE-LUCERNA 11:75
KORNVOLA-KATVARI 81:11
DINKERSA-KAPZEME 11:85
BANGKOKA-MUKDENA 11:87
PILZENE-KOSTROMA 87:11
OKSFORDA-SLOCENE 11:87
MERGUPE-HELSINKI 11:88
OLSTERA-GALIPOLE 11:89
BELMANTA-BENDERI 92:11
INSBURGA-MEISENE 11:92
USTRONE-HONKONGA 92:11
ZENTENE-OKSFORDA 95:11
RAUDONE-JOKOHOMA 98:11
KRETINGA-OREGONA 11:99
VERMONTA-DAIVANA 110:114
DENKERKA-TAIMIRA 110:114
KAZDANGA-TOSMARE 114:110
VENTSPILS-MEHIKO 110:116
BALATONS-HAIFONA 110:117
PEDEDZE-AVINJONA 117:110
LABANOVA-SEVERNA 110:118
LAUDERI-KRETINGA 110:120
DINKERSA-RAVENNA 110:121
DURBANA-BRAITONA 128:110
TAGANROGA-PELTES 131:110
MALAIZIJA-ATLASS 133:110
MADEIRA-MINESOTA 110:133
SORBONNA-ABAKANA 110:133
KALTENE-JURBARKA 135:110
ARIZONA-VERMONTA 137:110
SALIENA-GALIPOLE 140:110
MINESOTA-MEISENE 110:144
RAUDONE-BRISTOLE 145:110
ANADIRA-NIKOPOLE 110:147
KAPZEME-HELSINKI 148:110
KUNLUNS-KOSTROMA 113:111
GALIPOLE-KANTONA 111:114
PLATONE-FLORENCE 111:115
PALERMO-MINESOTA 116:111
RADOPOLE-MINHENE 111:117
KANBERA-EKVADORA 111:118
BRAITONA-MAKENZI 111:119
BANDUNGA-LIVORNA 111:120
HAVANNA-BELMANTA 121:111
AMUDARJA-BENDERI 111:121
KANNAS-SKAGERAKS 111:121
JITLANDE-ANADIRA 123:111
SKIEMONE-OLSTERA 124:111
MARIANNAS-PAMIRS 126:111
LAUTERE-LISABONA 111:129
MALAIZIJA-SEVANS 131:111
LITLROKA-LAUTERE 132:111
BELGORODA-INESIS 133:111
MUKDENA-EKVADORA 134:111
TURMANTA-KANTONA 111:138
MELNUPE-RIODEORO 111:139
GLAZGOVA-ALUKSNE 111:145
JOKOHOMA-AMAZONE 111:146
JURBARKA-PILTENE 111:147
KANTONA-BRISTOLE 149:111
MEISENE-JOKOHOMA 113:112
KORNVOLA-KUNLUNS 112:114
NIKOPOLE-MIASURA 115:112
JOKOHOMA-BEBRENE 112:116
BRAITONA-TALLINA 112:118
MARTINIKA-PAMIRS 120:112
SALASPILS-BAMAKO 112:122
PALERMO-FERMENTA 128:112
INSBURGA-KAPZEME 112:129
SAPORO-TERNOPOLE 131:112
TIRASPOLE-BORNEO 112:132
SAIGONA-BANDUNGA 132:112
HONKONGA-MEISENE 112:134
BANDUNGA-ALUKSNE 112:137
VERMONTA-MERGUPE 138:112
MALJORKA-MUKDENA 112:138
OREGONA-GABORONE 138:112
TAIMIRA-VERMONTA 112:140
KALTENE-LITLROKA 142:112
DUBLINA-KAZDANGA 144:112
DOTMUNDA-OLSTERA 148:112
BENGAZI-FERMENTA 114:113
KORNVOLA-VETERNS 113:117
SIRDARJA-SALVANA 113:117
ALTAJS-KUSTANAJA 113:120
HONIARA-PALEMONA 113:124
SIESARTE-DEMOINA 113:127
KAJENNA-BELMANTA 127:113
LUCERNA-MANITOBA 128:113
BENGAZI-FLORENCE 129:113
AVINJONA-KATVARI 136:113
LONDONA-STOMBOLI 137:113
BANGKOKA-TALLINA 113:137
ZENTENE-MINESOTA 141:113
ZVIEDRIJA-VEZUVS 142:113
GOTLANDE-RANGUNA 113:142
SAMAVS-CINCINATI 113:146
DUBLINA-MANITOBA 148:113
KALTENE-STOMBOLI 148:113
MANITOBA-PALERMO 113:149
HELSINKI-UKRAINA 114:117
SIRDARJA-KURZEME 114:118
PALEMONA-LOZANNA 114:118
PILZENE-INSBURGA 120:114
KATVARI-BANGKOKA 114:123
CIECERE-REINJORA 114:123
LABANOVA-PILZENE 114:123
KANBERA-BANGKOKA 114:124
MUKDENA-HONKONGA 126:114
INVERNESA-KAMPIS 126:114
HERSONA-BRISTOLE 127:114
NIAGARA-TURMANTA 114:128
HAMBURGA-SAIGONA 114:128
TJANDZINA-SAMAVS 130:114
INSBURGA-HOPJORA 114:133
BABRUNGA-BENDERI 136:114
KARTENA-JITLANDE 136:114
LIVORNA-BABRUNGA 139:114
OKSFORDA-GULBENE 114:140
KUNLUNS-MALJORKA 142:114
SIRDARJA-TAIZEME 114:142
SKIEMONE-BERGENA 114:143
MALJORKA-RAUDONE 114:144
HONKONGA-MINHENE 114:144
PILZENE-KORNVOLA 145:114
SARAGOSA-AMAZONE 114:145
HONIARA-DENKERKA 145:114
LIELUPE-LISABONA 114:148
TOSMARE-SARAGOSA 115:122
VAIVARI-KZILORDA 115:123
LONDONA-KRETINGA 126:115
PASIENA-KORNVOLA 126:115
LIELUPE-VALGUNDE 115:127
VERDENA-JANOPOLE 127:115
JITLANDE-VERDENA 115:130
GABORONE-DAIVANA 115:131
GULBENE-SIESARTE 132:115
GULBENE-REINJORA 134:115
KRETINGA-LAZDONA 115:134
SAPORO-TAGANROGA 136:115
HARBINA-DINKERSA 137:115
LAZDONA-ALEKSOTA 139:115
KORNVOLA-ANADIRA 140:115
FLORENCE-BENDERI 141:115
LONDONA-RIODEORO 142:115
EKVADORA-UKRAINA 115:143
KAMPIS-HONDURASA 115:143
BRAITONA-PEDEDZE 115:144
OREGONA-FLORENCE 148:115
TAURUPE-KORNVOLA 115:149
BOSTONA-SKIEMONE 118:116
MELBURNA-ZENTENE 116:119
KANGARI-KRETINGA 116:120
BELMANTA-CEILONA 116:122
DURBANA-MINESOTA 124:116
SORBONNA-KANGARI 125:116
KATMANDU-BENGAZI 116:126
KOSTROMA-IZMAIRA 129:116
MAIKOPA-RIODEORO 116:130
BOSTONA-DINKERSA 130:116
PALEMONA-BERGENA 116:131
TAIMIRA-KATMANDU 116:133
BABRUNGA-OREGONA 116:136
BALATONS-DEMOINA 116:137
RAUDONE-AMUDARJA 138:116
ARIZONA-KATMANDU 138:116
HARBINA-GLAZGOVA 140:116
KANBERA-JANOPOLE 116:142
HAIFONA-KROIDONA 146:116
PEREKOPS-POCIEMS 116:148
LAUDERI-JOKOHOMA 117:118
KOSTROMA-BENGAZI 117:121
MINESOTA-RAUDONE 117:124
KRETINGA-TOSMARE 125:117
JITLANDE-LUCERNA 117:126
KANBERA-GOTLANDE 117:126
JURBARKA-GULBENE 117:127
NIKOPOLE-OGLAINE 117:127
SORBONNA-RAUDONE 117:130
JOKOHOMA-LONDONA 117:131
DENKERKA-SALIENA 117:132
KAPZEME-AMUDARJA 132:117
HOPJORA-JURBARKA 133:117
MAIKOPA-HAMBURGA 134:117
REINJORA-MELNUPE 135:117
KALJAO-VENTSPILS 136:117
JURBARKA-TAMPERE 117:136
OGLAINE-BELMANTA 138:117
TAMPERE-MINDANAO 117:140
DEMOINA-SIRDARJA 140:117
MELBURNA-KAJENNA 117:141
ARAGONA-KROIDONA 142:117
OKSFORDA-HAIFONA 117:144
MALJORKA-TAIMIRA 117:144
KAJENNA-GABORONE 145:117
ALTAJS-GUBERNIJA 117:148
BALDONE-KZILORDA 149:117
HELSINKI-RANGUNA 117:149
MINDANAO-PEDEDZE 117:149
LISABONA-HERSONA 118:120
MUKDENA-FLORENCE 121:118
ATLASS-VENTSPILS 118:122
SIRDARJA-CEILONA 118:126
NANKINA-DENKERKA 127:118
NIKOPOLE-BENGAZI 118:127
INESIS-SKAGERAKS 118:129
GOTLANDE-LOKARNA 118:129
NOVGORODA-KAMPIS 130:118
BREDFORDA-MEHIKO 118:131
HUDZONA-EKVADORA 133:118
TAIVANA-JANOPOLE 134:118
DENVERA-RADOPOLE 118:136
REINJORA-SLOCENE 118:137
KOSTROMA-LOKARNA 118:141
VARDURA-VERMONTA 118:142
KORNVOLA-MERGUPE 145:118
GALIPOLE-DAIVANA 118:147
RADOPOLE-KAJENNA 118:147
LOTRINGA-PALERMO 119:120
SALVANA-PEREKOPS 120:119
PEDEDZE-VESTENDE 120:119
HARBINA-MALJORKA 121:119
MALJORKA-SALIENA 119:121
MEISENE-KOSTROMA 122:119
MINDANAO-VAIVARI 123:119
DAIVANA-NIKOPOLE 125:119
LUCERNA-VESTENDE 130:119
MALJORKA-GULBENE 119:131
LIELUPE-KROIDONA 119:132
NIKOPOLE-LONDONA 119:135
MALAIZIJA-MONAKO 137:119
HARBINA-STOMBOLI 137:119
SARAGOSA-ARIZONA 119:139
LITLROKA-KANGARI 139:119
BELMANTA-MUKDENA 119:140
KOSTROMA-TALLINA 119:141
VARDURA-MALJORKA 142:119
GOTLANDE-VERDENA 119:142
AVINJONA-MELNUPE 142:119
GOTLANDE-KALTENE 146:119
MALJORKA-DURBANA 119:146
KRETINGA-DAIVANA 12:100
HONKONGA-DEMOINA 12:101
FERMENTA-VAIVARI 102:12
GABORONE-ALUKSNE 12:102
BENGAZI-SORBONNA 104:12
TURMANTA-KAPZEME 12:106
TALLINA-OKLAHOMA 106:12
KROIDONA-TAIMIRA 109:12
GOTLANDE-ARAGONA 12:110
VESTENDE-ABADANA 12:110
GLAZGOVA-NIAGARA 112:12
TURMANTA-LAZDONA 12:113
BUFALO-TAGANROGA 113:12
LONDONA-MALJORKA 117:12
MELBURNA-PILTENE 12:119
IZMAIRA-BRAITONA 12:119
BABRUNGA-VARDURA 122:12
OLSTERA-SORBONNA 12:122
PALEMONA-SALVANA 12:13
INESIS-TIRASPOLE 12:131
BAMAKO-VERAKRUSA 131:12
JANOPOLE-RANGUNA 12:132
PALEMONA-IZMAIRA 133:12
ATLASS-KALVARIJA 12:136
GULBENE-KORNVOLA 140:12
KAZDANGA-MBABANE 12:142
LAUTERE-MINESOTA 12:142
TRAPENE-GALIPOLE 143:12
TOLEDO-MARIANNAS 12:143
BOSTONA-LITLROKA 145:12
BENGAZI-BANGKOKA 145:12
OGLAINE-SIRDARJA 149:12
ANADIRA-EKVADORA 12:15
SIESARTE-AMAZONE 12:150
TOLEDO-KALABRIJA 17:12
MINHENE-KAZDANGA 19:12
HONIARA-BABRUNGA 12:20
MINESOTA-OREGONA 12:20
TOSMARE-FLORENCE 12:21
SALDUS-TJANDZINA 12:21
BRISTOLE-HARBINA 12:23
ABAKANA-KORNVOLA 25:12
MUKDENA-AVINJONA 27:12
TAGANROGA-BILBAO 12:28
AMUDARJA-DAIVANA 12:29
DURBANA-JANOPOLE 38:12
HELSINKI-DUBLINA 12:43
IZMAIRA-VESTENDE 12:43
JOKOHOMA-BERGENA 12:44
KURZEME-LITLROKA 49:12
VESTENDE-LAUDERI 50:12
SALDUS-TIRASPOLE 12:50
TAIVANA-DINKERSA 51:12
ALUKSNE-KRETINGA 55:12
BANGKOKA-ABADANA 12:59
KALVENE-REINJORA 59:12
LABANOVA-HONIARA 63:12
ZAMBEZI-NIKOPOLE 63:12
GLAZGOVA-SAIGONA 12:65
PEREKOPS-KANGARI 67:12
KROIDONA-DUBLINA 12:68
HOPJORA-KORNVOLA 12:68
LISABONA-GARONNA 12:69
KEMEROVA-LONDONA 12:71
MUKDENA-LISABONA 71:12
KURZEME-INSBURGA 77:12
KOSTROMA-TAURUPE 78:12
BORNEO-MARIANNAS 12:81
LOKARNA-SIESARTE 81:12
KANTONA-DOTMUNDA 81:12
HELSINKI-MELNUPE 85:12
KURZEME-SIESARTE 86:12
SALIENA-PEREKOPS 87:12
KANGARI-MINESOTA 12:87
UKRAINA-MINESOTA 88:12
OREGONA-STOMBOLI 89:12
TAGANROGA-SALDUS 89:12
NIAGARA-INSBURGA 90:12
HELSINKI-LIVORNA 12:91
TIRASPOLE-KANNAS 93:12
TAIZEME-PEREKOPS 97:12
HAVANNA-JANOPOLE 99:12
POCIEMS-LOTRINGA 99:12
MEISENE-BALATONS 122:120
OLSTERA-LITLROKA 120:123
MELNUPE-EKVADORA 120:125
KANGARI-FERMENTA 120:125
KRETINGA-PALERMO 120:125
MEISENE-KAZDANGA 126:120
SLOCENE-KORNVOLA 126:120
DINKERSA-KUNLUNS 120:128
VESTENDE-OREGONA 120:129
LAZDONA-GOTLANDE 131:120
UKRAINA-KAZDANGA 133:120
SORBONNA-MELNUPE 135:120
BALDONE-JOKOHOMA 136:120
PEREKOPS-AMAZONE 120:138
HAIFONA-GALIPOLE 141:120
JURBARKA-TAIZEME 120:142
ABAKANA-BELMANTA 145:120
NIKOPOLE-OREGONA 120:147
MUKDENA-VERMONTA 147:120
ALUKSNE-JANOPOLE 123:121
KUNLUNS-GABORONE 124:121
TAGANROGA-TOLEDO 121:124
LOKARNA-SARAGOSA 125:121
OLIMPS-BORNHOLMA 121:127
SORBONNA-LUCERNA 121:128
UGUNSZEME-PAMIRS 129:121
DINKERSA-KONAKRI 121:131
PILTENE-KRETINGA 131:121
LOTRINGA-LIVORNA 121:131
PEDEDZE-ALEKSOTA 131:121
SARAGOSA-BEBRENE 121:131
LONDONA-INSBURGA 132:121
GABORONE-LUCERNA 121:133
MAIKOPA-KROIDONA 121:142
DOTMUNDA-USTRONE 142:121
JURBARKA-NIAGARA 121:147
DENKERKA-MADEIRA 121:150
ALTAJS-INVERNESA 121:150
KRETINGA-KALVENE 122:123
LOTRINGA-LAUTERE 125:122
MINDANAO-SALVANA 122:127
JOKOHOMA-MINHENE 122:128
HOPJORA-VESTENDE 122:128
TAIMIRA-JOKOHOMA 122:128
TAURUPE-GOTLANDE 122:131
REINJORA-MADEIRA 131:122
HAMBURGA-HONIARA 122:132
SIRDARJA-KAPZEME 122:132
NIAGARA-KOSTROMA 122:134
LAZDONA-BRAITONA 135:122
AMUDARJA-TOSMARE 122:137
GLAZGOVA-BALDONE 122:140
RIODEORO-KAPZEME 122:141
USTRONE-HELSINKI 141:122
OKSFORDA-EGLAINE 122:141
BRISTOLE-BENGAZI 122:143
AMAZONE-MINDANAO 122:143
KEMEROVA-ALUKSNE 122:145
GALIPOLE-HUDZONA 122:148
FERMENTA-TAIVANA 122:149
KAZDANGA-ANADIRA 150:122
TOBAGO-NOVGORODA 124:123
KORNVOLA-DUBLINA 123:125
BABRUNGA-MINHENE 123:130
MUKDENA-INSBURGA 131:123
SORBONNA-TAIMIRA 131:123
KAMPIS-SKAGERAKS 123:131
SIESARTE-KALVENE 123:131
OLIMPS-KRUSTPILS 123:132
MUKDENA-PEREKOPS 137:123
DENVERA-MINESOTA 123:139
RADOPOLE-ABAKANA 123:140
LABANOVA-NANKINA 123:140
BALTIMORA-MONAKO 141:123
HAMBURGA-CEILONA 123:141
HERSONA-SIESARTE 144:123
JURBARKA-BOSTONA 123:145
BRAITONA-LOKARNA 123:145
MAIKOPA-ALEKSOTA 123:147
KOSTROMA-KALTENE 123:148
OKLAHOMA-LOKARNA 123:150
MELBURNA-RANGUNA 124:125
FLANDRIJA-PAMIRS 126:124
SEVERNA-LITLROKA 126:124
EGLAINE-GABORONE 129:124
KANGARI-JANOPOLE 124:130
KANGARI-STOMBOLI 124:130
TAMPERE-LOTRINGA 124:132
AVINJONA-HAIFONA 124:133
BANGKOKA-LIVORNA 124:133
RANGUNA-GABORONE 137:124
ZVIEDRIJA-ELTONS 137:124
KATMANDU-GARONNA 124:138
MAKENZI-INSBURGA 138:124
MELNUPE-FLORENCE 124:140
MEISENE-BRISTOLE 140:124
SIRDARJA-ALUKSNE 124:142
MELBURNA-PEDEDZE 124:143
INSBURGA-LOKARNA 124:144
OLSTERA-GLAZGOVA 124:144
PEDEDZE-GLAZGOVA 148:124
CINDAO-PRETORIJA 149:124
HOPJORA-MINESOTA 125:127
MAKENZI-SARAGOSA 129:125
GALIPOLE-RAVENNA 125:130
MINESOTA-LOKARNA 125:131
PILZENE-KEMEROVA 132:125
FERMENTA-VERDENA 125:133
POCIEMS-MELBURNA 134:125
CIECERE-BANGKOKA 125:135
STOMBOLI-PILTENE 125:136
EKVADORA-DEMOINA 125:137
MARTINIKA-SAPORO 139:125
MALJORKA-BALDONE 125:139
AVINJONA-ABAKANA 125:142
REINJORA-NANKINA 125:148
DURBANA-KAZDANGA 149:125
BALATONS-DENVERA 130:126
KRETINGA-VAIVARI 131:126
MINESOTA-CIECERE 134:126
DOTMUNDA-DEMOINA 126:134
SALIENA-BALATONS 139:126
GALIPOLE-OREGONA 126:140
LAUDERI-KORNVOLA 126:143
MALABO-VERAKRUSA 144:126
SLOCENE-KZILORDA 147:126
ANADIRA-GOTLANDE 126:147
LABANOVA-KALVENE 126:148
SAIGONA-GABORONE 148:126
MIASURA-SARAGOSA 126:149
KANBERA-KAZDANGA 127:128
BREDFORDA-KAMPIS 128:127
BENDERI-KATMANDU 127:128
JOKOHOMA-LUCERNA 127:129
LOKARNA-LISABONA 130:127
DEMOINA-AMUDARJA 130:127
LIVORNA-SARAGOSA 131:127
MONAKO-TJANDZINA 127:134
BOSTONA-MALJORKA 135:127
KAJENNA-TURMANTA 136:127
MURMANSKA-MEHIKO 136:127
TALLINA-MANITOBA 137:127
FLORENCE-NANKINA 127:137
BRAITONA-ABAKANA 127:140
