299
SALVANA-TENESIJA 0:102
VIDZEME-AIZVOLGA 11:21
BRRONKSA-ILMENIS 11:23
KALTENE-ARMAVIRA 11:27
UKRAINA-KARLAILA 11:31
TURCIJA-HIROSIMA 11:34
KALVENE-JAKUTIJA 11:38
VALGUNDE-HARBINA 11:38
BALTIJA-TENESIJA 11:40
GRUZIJA-AUSTRIJA 11:41
BRUNEJA-ROZALIMA 11:44
DAMASKA-KRIEVIJA 11:55
KANTONA-JAUNPILS 11:55
HUDZONA-ARMAVIRA 11:58
SEVILJA-TENESIJA 11:60
PIEVOLGA-LATGALE 11:64
VILGALE-MISISIPI 11:68
ARKTIKA-IGNALINA 11:69
SIESIKI-LUISVILA 11:70
INDRAJI-BAHREINA 11:71
PILZENE-DOMINIKA 11:71
JITLANDE-ILMENIS 11:74
JITLANDE-KAMBIJA 11:75
DUBLINA-PLOVDIVA 11:76
PENKULE-ARMAVIRA 11:79
GARONNA-AUSTRIJA 11:81
VIETALVA-GAMBIJA 11:83
KAPZEME-MISISIPI 11:83
HUDZONA-ADELAIDA 11:84
FLORENCE-GVINEJA 11:85
GARONNA-JAKUTIJA 11:86
HARTUMA-UDMRTIJA 11:9
KANTONA-BRAZILJA 11:93
POLOCKA-DOMINIKA 11:98
SEIRIJI-TENESIJA 110:103
MINDANAO-BOMBEJA 110:105
SIDNEJA-IGAUNIJA 110:106
KAMPALA-MELNSILS 110:114
PLATONE-SAULAINE 110:114
JITLANDE-NEAPOLE 110:12
PASVALE-MANHEIMA 110:12
BRRONKSA-KORSIKA 110:122
JAMAIKA-DOMINIKA 110:122
VALGUNDE-GARONNA 110:124
TALLINA-JAKUTIJA 110:126
AMAZONE-GOTLANDE 110:128
SEIRIJI-DOMINIKA 110:129
KAIBALA-ILINOISA 110:134
VIDZEME-BAIREITA 110:134
ANGLIJA-DOMINIKA 110:145
KALTENE-BRUKLINA 110:148
VESTENDE-HARTUMA 110:15
BRISELE-PLOVDIVA 110:16
NIAMEJA-DETROITA 110:17
NANKINA-TUNISIJA 110:18
LAPZEME-VIETALVA 110:19
LOZANNA-HIROSIMA 110:25
USTRONE-SAULAINE 110:25
ULBROKA-BEREZINA 110:28
KAIBALA-DETROITA 110:29
DEMOINA-NIKOSINA 110:29
FORMOZA-DOMINIKA 110:3
DAIVANA-ILINOISA 110:30
HAIFONA-VIETALVA 110:35
ARKTIKA-ILINOISA 110:37
OBELIJA-MANHEIMA 110:37
SIDNEJA-ILINOISA 110:39
MENORKA-NIKOSINA 110:4
MINHENE-PLOVDIVA 110:4
PILTENE-PLOVDIVA 110:41
ZENTENE-JITLANDE 110:43
AIZVOLGA-VIDAUJA 110:43
INDRAJI-JAKUTIJA 110:45
KRIMULDA-TURCIJA 110:45
PILZENE-LEIPCIGA 110:48
ZENTENE-MELNSILS 110:5
SKOTIJA-RUDAMINA 110:51
BERGENA-GARKALNE 110:53
DAMASKA-DOMINIKA 110:60
VILGALE-LUISVILA 110:61
PILZENE-TUNISIJA 110:64
OREGONA-JAKUTIJA 110:66
MINHENE-BRUKLINA 110:67
VERDENA-SAULAINE 110:69
VIDAUJA-MISISIPI 110:69
BENGAZI-DETROITA 110:74
NANKINA-SALONIKI 110:80
BERGENA-JAKUTIJA 110:87
ABADANA-UDMRTIJA 110:9
ISIKULS-ARMAVIRA 110:90
ZAMBEZI-JAKUTIJA 110:92
TRIPOLE-UZBEKIJA 110:95
TERMEZA-KARLAILA 110:96
PIEVOLGA-SEIRIJI 111:1
BRRONKSA-BRUNEJA 111:1
ZAMBEZI-ILINOISA 111:104
HAIFONA-KARLAILA 111:109
MEISENE-PIEVOLGA 111:112
OGLAINE-MELNSILS 111:114
RAUDONE-GROZNIJA 111:12
SAKSIJA-ILINOISA 111:121
PAKROJA-MANHEIMA 111:123
LATGALE-NIKOSINA 111:123
KALVENE-JAUNPILS 111:127
MINDANAO-LATVIJA 111:129
VIETALVA-METELIS 111:130
TALLINA-AIZVOLGA 111:133
ZENTENE-MISISIPI 111:135
VILGALE-ADELAIDA 111:136
BRAZILJA-OBELIJA 111:136
PIEVOLGA-KAMPALA 111:140
JITLANDE-MARVELE 111:146
KARTENA-MELNSILS 111:146
SAIGONA-KARLAILA 111:149
HUDZONA-JAKUTIJA 111:149
NANKINA-FRANCIJA 111:15
TRAPENE-LEIPCIGA 111:15
AIZVOLGA-MAJORKA 111:150
ARTJOMA-TENERIFE 111:17
SAIGONA-MAUNALOA 111:2
DUBLINA-HIROSIMA 111:21
KATMANDU-BENGAZI 111:23
AIZVOLGA-BOMBEJA 111:24
OGLAINE-BRAZILJA 111:26
JAMAIKA-MANHEIMA 111:27
BOSTONA-DOMINIKA 111:28
RAVENNA-IGAUNIJA 111:30
KALTENE-BRRONKSA 111:31
TOBRUKA-SALONIKI 111:35
MINDANAO-SALVANA 111:35
TAIZEME-ADELAIDA 111:36
MINDANAO-ILMENIS 111:4
LATGALE-BRUKLINA 111:4
BERGENA-AIZVOLGA 111:53
BRUNEJA-KATOVICE 111:58
SLOCENE-TELAVIVA 111:63
GVINEJA-LUISVILA 111:66
VECRIKAVA-DRUSTI 111:66
HARBINA-TUNISIJA 111:69
MBABANE-GARKALNE 111:71
SEVERNA-AIZVOLGA 111:8
MARVELE-BEREZINA 111:8
ZAMBIJA-BAIREITA 111:8
MAUNALOA-LAZDIJI 111:82
LAZDIJI-UDMRTIJA 111:85
TEBRIZA-TELAVIVA 111:87
KURZEME-IGAUNIJA 111:89
OBELIJA-IGNALINA 111:94
VALGUNDE-ZAMBEZI 111:96
VESTENDE-TOTNEMA 112:100
BERGENA-BEREZINA 112:101
RAVENNA-ROZALIMA 112:110
NIAMEJA-TUNISIJA 112:110
METELIS-KATOVICE 112:110
POCIEMS-BEREZINA 112:121
NAHODKA-SALONIKI 112:126
PENKULE-ETIOPIJA 112:128
SLOCENE-GOTLANDE 112:131
MINHENE-DOTMUNDA 112:131
BRATSKA-TUNISIJA 112:134
KALVENE-BEREZINA 112:135
KAZBEKS-ARMAVIRA 112:137
SERBIJA-MELNSILS 112:145
KRIMULDA-ORINOKO 112:147
LAPZEME-PLOVDIVA 112:15
KAMPALA-IGNALINA 112:150
DOTMUNDA-HARTUMA 112:20
EGLAINE-KRIMULDA 112:21
DOTMUNDA-PEDEDZE 112:24
LAZDIJI-TENESIJA 112:31
SEVERNA-IGAUNIJA 112:37
MAUNALOA-OBELIJA 112:38
KALTENE-SALONIKI 112:42
LATGALE-BAIREITA 112:43
TAIVANA-RUDAMINA 112:45
KANTONA-TENESIJA 112:51
FLORENCE-BRISELE 112:51
KAMBIJA-JAUNPILS 112:52
ZEMGALE-KRIMULDA 112:53
SIDNEJA-DOMINIKA 112:57
NANKINA-BAHREINA 112:59
GOTLANDE-FORMOZA 112:61
PASVALE-UDMRTIJA 112:70
RAUDONE-IGAUNIJA 112:77
KANTONA-KATOVICE 112:9
ILMENIS-BRUKLINA 112:90
MBABANE-TENERIFE 112:95
HUDZONA-HIROSIMA 112:99
AMAZONE-KATOVICE 113:0
DOTMUNDA-NANKINA 113:101
JITLANDE-MAKENZI 113:103
SAKSIJA-NIKOSINA 113:103
SIDNEJA-MISISIPI 113:105
KALTENE-PIEVOLGA 113:107
ZEMGALE-ROZALIMA 113:108
DOTMUNDA-POLOCKA 113:111
MEISENE-AIZVOLGA 113:112
VIETALVA-ORINOKO 113:114
KAPZEME-GARKALNE 113:127
SIESIKI-BRUKLINA 113:13
AIZVOLGA-KVEBEKA 113:131
HUDZONA-VIETALVA 113:136
KALVENE-IGAUNIJA 113:137
DOTMUNDA-LOKARNA 113:139
SLOCENE-NIKOSINA 113:14
PALERMO-AUSTRIJA 113:142
POLOCKA-JAKUTIJA 113:142
SIESIKI-TENESIJA 113:142
VIDUKLE-KARLAILA 113:15
LIVORNA-ARMAVIRA 113:15
BRISELE-MELNSILS 113:150
RAUDONE-KRIMULDA 113:25
MUKDENA-BAIREITA 113:26
KANTONA-TELAVIVA 113:29
PAROGLE-KRIMULDA 113:37
CEILONA-DETROITA 113:38
BENGAZI-TELAVIVA 113:38
PILTENE-FLORENCE 113:40
MARVELE-ARMAVIRA 113:47
KATMANDU-KVEBEKA 113:60
TRAPENE-JITLANDE 113:62
GAMBIJA-LUISVILA 113:63
BRISELE-ARMAVIRA 113:68
MEKSIKA-ROZALIMA 113:70
SEIRIJI-DETROITA 113:71
PASVALE-KATOVICE 113:72
MBABANE-MISISIPI 113:72
MAUNALOA-PASVALE 113:73
KAJENNA-ADELAIDA 113:74
BALTIJA-BRUKLINA 113:76
GVINEJA-KATOVICE 113:88
KAIBALA-LUISVILA 113:89
TALLINA-SALONIKI 113:91
BENGAZI-SAULAINE 113:94
HUDZONA-LUISVILA 114:100
TURCIJA-MISISIPI 114:102
KALVENE-LUISVILA 114:103
BRRONKSA-MIRNIJA 114:107
USTRONE-KATOVICE 114:113
PILZENE-RUDAMINA 114:115
LAPZEME-SALONIKI 114:119
MINDANAO-JAMAIKA 114:122
KVEBEKA-KARLAILA 114:123
LAZDIJI-PLOVDIVA 114:124
POCIEMS-RUDAMINA 114:124
HERSONA-BRAZILJA 114:127
SERBIJA-TELAVIVA 114:128
TALLINA-AUSTRIJA 114:128
MARVELE-MELNSILS 114:128
NANKINA-KRIMULDA 114:129
SALIENA-ARMAVIRA 114:133
SALIENA-GROZNIJA 114:136
KANTONA-PIEVOLGA 114:14
PILZENE-JAUNPILS 114:140
PEDEDZE-DOMINIKA 114:141
FLORENCE-GAMBIJA 114:143
POCIEMS-PLOVDIVA 114:144
LOKARNA-MAUNALOA 114:147
DOTMUNDA-VATERLO 114:20
PEDEDZE-MANHEIMA 114:26
ABAKANA-RUDAMINA 114:29
SLOCENE-VESTENDE 114:31
MAJORKA-IGNALINA 114:31
LATGALE-IGAUNIJA 114:31
SEVILJA-RUDAMINA 114:34
BOSTONA-JAUNPILS 114:35
MARVELE-MISISIPI 114:40
SKOTIJA-TENERIFE 114:40
KAIBALA-KRIEVIJA 114:43
LOKARNA-GARKALNE 114:45
HARTUMA-UZBEKIJA 114:5
JAMAIKA-UZBEKIJA 114:50
SAIGONA-SALONIKI 114:51
LATVIJA-IGNALINA 114:52
BOMBEJA-GROZNIJA 114:54
BRUNEJA-TUNISIJA 114:56
VALGUNDE-MUKDENA 114:61
ILMENIS-IGAUNIJA 114:63
BRAZILJA-KAMPALA 114:65
ABADANA-MELNSILS 114:65
OGLAINE-AIZVOLGA 114:69
VIDZEME-LEIPCIGA 114:70
LAZDIJI-MANHEIMA 114:72
ABAKANA-IGAUNIJA 114:74
SAKSIJA-MELNSILS 114:75
LOKARNA-VIETALVA 114:80
MENORKA-IGNALINA 114:82
LUCERNA-TUNISIJA 114:82
GOTLANDE-SERBIJA 114:83
RUMBULA-BEREZINA 114:87
PERLOJA-MANHEIMA 114:89
DURBANA-GROZNIJA 114:90
GDANSKA-UDMRTIJA 114:94
ZENTENE-MANHEIMA 114:97
TEBRIZA-DETROITA 115:10
VIDAUJA-BEREZINA 115:100
ALABAMA-MELNSILS 115:102
LOKARNA-ETIOPIJA 115:103
GOTLANDE-AMERIKA 115:104
LIVORNA-AIZVOLGA 115:107
KATMANDU-HAVANNA 115:112
VALGUNDE-DAMASKA 115:113
LOZANNA-TUNISIJA 115:114
VIETALVA-NIAMEJA 115:118
TRAPENE-PLOVDIVA 115:118
ROSTOKA-TENERIFE 115:118
SALIENA-MISISIPI 115:119
HAVANNA-RUDAMINA 115:119
PIEVOLGA-KORSIKA 115:127
SILMALA-ETIOPIJA 115:130
BENGAZI-PLOVDIVA 115:130
KALVENE-BAIREITA 115:134
JITLANDE-ARIZONA 115:136
TALLINA-TENERIFE 115:137
ARTJOMA-HIROSIMA 115:139
VERSEKA-TUNISIJA 115:141
AMAZONE-OZOLAINE 115:148
KATMANDU-RANGUNA 115:149
KATMANDU-TALLINA 115:15
GARONNA-MELNSILS 115:16
TAIVANA-ILINOISA 115:17
NAHODKA-BEREZINA 115:2
VALGUNDE-TOMBUKA 115:21
DOTMUNDA-HERSONA 115:22
AMERIKA-AUSTRIJA 115:23
INDRAJI-ROZALIMA 115:25
KAMBIJA-ILINOISA 115:26
PILTENE-IGAUNIJA 115:3
MIRNIJA-KATOVICE 115:30
MBABANE-VIETALVA 115:31
OGLAINE-VALGUNDE 115:31
SILMALA-BRRONKSA 115:35
BALTIJA-ARMAVIRA 115:35
HUDZONA-NIKOSINA 115:4
ZEMGALE-JAUNPILS 115:43
VIETALVA-KORSIKA 115:45
BRATSKA-MISISIPI 115:45
SEVERNA-ETIOPIJA 115:53
VERDENA-PIEVOLGA 115:55
PERLOJA-NIKOSINA 115:56
EGLAINE-IGAUNIJA 115:58
BRISELE-BAIREITA 115:62
POCIEMS-MAUNALOA 115:62
FORMOZA-IGAUNIJA 115:65
MEISENE-BRUKLINA 115:65
POLOCKA-TENESIJA 115:71
VALGUNDE-AMERIKA 115:72
BRATSKA-ETIOPIJA 115:73
TALLINA-PIEVOLGA 115:73
JITLANDE-POCIEMS 115:75
HAVANNA-MANHEIMA 115:82
DURBANA-IGAUNIJA 115:89
MARVELE-BAIREITA 115:9
ROSTOKA-IGNALINA 115:96
KORSIKA-JAKUTIJA 115:97
JITLANDE-MAJORKA 115:98
MEISENE-ARMAVIRA 116:0
KAMPALA-BRUKLINA 116:10
LOKARNA-ADELAIDA 116:102
LAPZEME-IGAUNIJA 116:113
PILZENE-MINDANAO 116:118
TOMBUKA-SAULAINE 116:124
TOTNEMA-IGAUNIJA 116:126
BRRONKSA-SERBIJA 116:128
RAUDONE-VESTENDE 116:131
AIZVOLGA-LATVIJA 116:131
TOBRUKA-BEREZINA 116:132
DOTMUNDA-NAHODKA 116:132
LATGALE-SAULAINE 116:133
PASVALE-ILINOISA 116:136
DAMASKA-TELAVIVA 116:137
BRAZILJA-PASVALE 116:139
KANTONA-GARKALNE 116:146
PIEVOLGA-MILVOKI 116:15
MEKSIKA-ETIOPIJA 116:16
RUMBULA-DOMINIKA 116:16
SERBIJA-AUSTRIJA 116:18
PIEVOLGA-VILGALE 116:18
VIDZEME-DETROITA 116:19
GARONNA-UDMRTIJA 116:19
CEILONA-TENESIJA 116:23
LOKARNA-BRAZILJA 116:24
ANGLIJA-KATOVICE 116:3
AMAZONE-IGNALINA 116:31
MINHENE-JAKUTIJA 116:35
KVEBEKA-NIKOSINA 116:35
VIDZEME-SAULAINE 116:36
JAMAIKA-TUNISIJA 116:38
KAJENNA-AIZVOLGA 116:49
JITLANDE-HERSONA 116:51
VALGUNDE-ABAKANA 116:55
PENKULE-SAULAINE 116:55
METELIS-KRIEVIJA 116:57
CINCINATI-VANAGI 116:59
SEVILJA-JAKUTIJA 116:6
LAZDONA-PIEVOLGA 116:61
ABADANA-TUNISIJA 116:66
MAUNALOA-PERLOJA 116:66
RANGUNA-DOMINIKA 116:67
MAJORKA-SAULAINE 116:69
GRUZIJA-LEIPCIGA 116:74
POLOCKA-HIROSIMA 116:8
KRIMULDA-ILMENIS 116:82
ALABAMA-MAUNALOA 116:83
KAIBALA-LEIPCIGA 116:84
MAUNALOA-ORINOKO 116:89
UGUNSZEME-DRUSTI 116:9
KAJENNA-GROZNIJA 116:95
HAVANNA-FRANCIJA 116:96
MAJORKA-TELAVIVA 117:1
INDRAJI-PLOVDIVA 117:1
MBABANE-BRUKLINA 117:100
SILMALA-LEIPCIGA 117:101
HARTUMA-DETROITA 117:107
POCIEMS-LEIPCIGA 117:107
BRRONKSA-TOBRUKA 117:110
MEISENE-ILINOISA 117:116
BRRONKSA-MENORKA 117:12
PAROGLE-PLOVDIVA 117:12
JAUNCIEMS-DRUSTI 117:121
VATERLO-ADELAIDA 117:123
KALTENE-ILINOISA 117:123
DURBANA-SAULAINE 117:124
KALTENE-KARLAILA 117:125
VATERLO-AUSTRIJA 117:133
MAUNALOA-MARVELE 117:134
PERLOJA-KATOVICE 117:14
ARKTIKA-NIKOSINA 117:140
PILZENE-AUSTRIJA 117:141
HUDZONA-AUSTRIJA 117:144
TOBRUKA-KARLAILA 117:145
GOTLANDE-OBELIJA 117:146
ZEMGALE-LUISVILA 117:148
ULBROKA-TELAVIVA 117:149
TALLINA-PLOVDIVA 117:150
ARKTIKA-JAUNPILS 117:21
TRIPOLE-TELAVIVA 117:25
TRAPENE-SAULAINE 117:29
JITLANDE-PENKULE 117:29
GULBENE-MANHEIMA 117:30
LATGALE-DOMINIKA 117:33
MBABANE-GROZNIJA 117:34
SERBIJA-JAUNPILS 117:36
GORKIJA-AUSTRIJA 117:36
TOMBUKA-JAUNPILS 117:42
MEKSIKA-ADELAIDA 117:5
VERDENA-HIROSIMA 117:52
ARIZONA-TENERIFE 117:52
DAIVANA-BEREZINA 117:53
KARTENA-BRUKLINA 117:54
KVEBEKA-LUISVILA 117:55
AIZVOLGA-BALTIJA 117:57
FORMOZA-KARLAILA 117:6
LATGALE-ADELAIDA 117:60
SIDNEJA-ARMAVIRA 117:62
GOTLANDE-KAJENNA 117:62
PLATONE-VALGUNDE 117:62
PIEVOLGA-BRUNEJA 117:66
TRIPOLE-NIKOSINA 117:66
TEBRIZA-IGNALINA 117:67
JERSIKA-LUISVILA 117:67
PAROGLE-JAKUTIJA 117:71
VIDUKLE-IGAUNIJA 117:75
JITLANDE-VERDENA 117:75
JITLANDE-SALIENA 117:8
BOMBEJA-BRUKLINA 117:84
GVINEJA-TENESIJA 117:86
GARONNA-IGNALINA 117:87
ARKTIKA-ADELAIDA 117:88
VATERLO-UDMRTIJA 117:93
MUKDENA-BRUKLINA 117:95
AIZVOLGA-NAHODKA 117:96
VALGUNDE-LATGALE 118:100
TOTNEMA-MELNSILS 118:104
LAZDIJI-FRANCIJA 118:109
OGLAINE-PLOVDIVA 118:110
AIZVOLGA-VIDUKLE 118:115
VIETALVA-MILVOKI 118:121
KAPZEME-ROZALIMA 118:130
KAPZEME-KRIMULDA 118:131
JITLANDE-LOKARNA 118:132
GULBENE-BRAZILJA 118:141
KATMANDU-KAMBIJA 118:148
UKRAINA-MANHEIMA 118:2
PILZENE-KATOVICE 118:21
KATMANDU-LAZDIJI 118:22
JERSIKA-LEIPCIGA 118:22
VIDAUJA-DOMINIKA 118:25
BOMBEJA-ROZALIMA 118:29
PASIENA-AUSTRIJA 118:30
NANKINA-MANHEIMA 118:39
ARAGONA-IGAUNIJA 118:41
LATVIJA-DETROITA 118:41
VERDENA-KATOVICE 118:47
DOTMUNDA-METELIS 118:49
BRATSKA-TENERIFE 118:5
ZENTENE-DOTMUNDA 118:50
RAUDONE-AIZVOLGA 118:51
PALERMO-SAULAINE 118:59
RANGUNA-ETIOPIJA 118:62
PILTENE-KRIMULDA 118:64
VESTENDE-GVINEJA 118:65
MARVELE-PLOVDIVA 118:69
BRAZILJA-KORSIKA 118:69
NAHODKA-BRUKLINA 118:7
RUMBULA-ROZALIMA 118:74
DOTMUNDA-MAJORKA 118:80
VERDENA-LEIPCIGA 118:80
ZAMBIJA-GROZNIJA 118:88
VALGUNDE-BOMBEJA 118:90
GOTLANDE-BRATSKA 118:95
VESTENDE-TALLINA 118:96
VALGUNDE-SKOTIJA 118:96
KALVENE-DETROITA 119:0
OGLAINE-MISISIPI 119:0
USTRONE-VESTENDE 119:101
ABAKANA-DOMINIKA 119:101
MUKDENA-DOMINIKA 119:102
AMAZONE-MANHEIMA 119:102
KALVENE-VESTENDE 119:103
NEAPOLE-KRIEVIJA 119:103
RAVENNA-DOMINIKA 119:106
PASVALE-MELNSILS 119:107
USTRONE-SALONIKI 119:111
VIETALVA-INDRAJI 119:114
BRAZILJA-SAFOLKA 119:121
GOTLANDE-PEDEDZE 119:124
VESTENDE-VERDENA 119:13
CEILONA-AIZVOLGA 119:130
SLOCENE-ROZALIMA 119:133
PASVALE-KARLAILA 119:135
GARKALNE-SILMALA 119:139
PLATONE-GOTLANDE 119:14
MAUNALOA-BRISELE 119:140
KALTENE-AIZVOLGA 119:142
SIESIKI-FRANCIJA 119:149
KANTONA-SAULAINE 119:17
JERSIKA-BAHREINA 119:18
ARTJOMA-BAIREITA 119:2
SEIRIJI-KATOVICE 119:25
KATMANDU-SILMALA 119:25
ISIKULS-JAKUTIJA 119:26
LAZDIJI-KRIEVIJA 119:3
ULBROKA-OZOLAINE 119:4
VESTENDE-SALIENA 119:41
VALGUNDE-SALVANA 119:45
VESTENDE-UKRAINA 119:51
SALIENA-FRANCIJA 119:51
BALTIJA-RUDAMINA 119:56
TAIVANA-MISISIPI 119:59
MEKSIKA-GROZNIJA 119:65
LAZDONA-BRRONKSA 119:67
VALGUNDE-KAMBIJA 119:7
PAKROJA-ARMAVIRA 119:7
DOTMUNDA-BRUNEJA 119:70
BERGENA-RUDAMINA 119:74
FLORENCE-MUKDENA 119:82
PEDEDZE-IGNALINA 119:88
DAIVANA-KRIMULDA 119:89
SILMALA-KATOVICE 119:91
OGLAINE-JAUNPILS 119:92
MUKDENA-KRIMULDA 119:92
VALGUNDE-VIDUKLE 12:0
KATMANDU-POLOCKA 12:0
BRRONKSA-GORKIJA 12:102
MBABANE-KATMANDU 12:103
GVINEJA-TENERIFE 12:103
RAUDONE-SALONIKI 12:104
KAIBALA-JAKUTIJA 12:105
ROSTOKA-MISISIPI 12:106
MINDANAO-GAMBIJA 12:106
LATGALE-KATOVICE 12:108
LUCERNA-AIZVOLGA 12:111
NEAPOLE-ADELAIDA 12:117
BRAZILJA-ANGLIJA 12:121
TOBRUKA-RUDAMINA 12:121
ORINOKO-ARMAVIRA 12:122
MAUNALOA-GORKIJA 12:122
OGLAINE-BAHREINA 12:131
JITLANDE-KARTENA 12:135
LIVORNA-KRIEVIJA 12:136
BRUNEJA-OZOLAINE 12:136
NIAMEJA-ARMAVIRA 12:137
USTRONE-ETIOPIJA 12:139
AIZVOLGA-GRUZIJA 12:140
GRUZIJA-BRUKLINA 12:140
LATGALE-LEIPCIGA 12:147
ULBROKA-BAIREITA 12:2
VATERLO-KRIMULDA 12:22
AMAZONE-BAIREITA 12:27
OGLAINE-TUNISIJA 12:27
BERGENA-NIKOSINA 12:28
KVEBEKA-BEREZINA 12:29
AIZVOLGA-SERBIJA 12:3
MAJORKA-TENERIFE 12:34
VERDENA-AUSTRIJA 12:40
OBELIJA-TENERIFE 12:47
RANGUNA-KATOVICE 12:49
VERSEKA-KATOVICE 12:56
JAMAIKA-IGAUNIJA 12:58
MAUNALOA-AMERIKA 12:58
MINHENE-LUISVILA 12:59
NAHODKA-MISISIPI 12:6
DAMASKA-MISISIPI 12:6
LIVORNA-HIROSIMA 12:63
VESTENDE-PASIENA 12:65
KAPZEME-ADELAIDA 12:74
SEVILJA-BAHREINA 12:76
HAIFONA-TENESIJA 12:80
PASVALE-KRIMULDA 12:81
KAPZEME-BEREZINA 12:88
KARTENA-LEIPCIGA 12:95
NEAPOLE-AUSTRIJA 12:96
ABADANA-RUDAMINA 12:98
KATMANDU-LUCERNA 120:100
KAPZEME-TENESIJA 120:101
ARAGONA-ADELAIDA 120:104
KORSIKA-DOMINIKA 120:105
TALLINA-LEIPCIGA 120:105
KRIMULDA-GORKIJA 120:109
GAMBIJA-IGNALINA 120:109
PASVALE-IGNALINA 120:11
BOMBEJA-IGAUNIJA 120:110
MAJORKA-TUNISIJA 120:113
HAVANNA-UZBEKIJA 120:114
GOTLANDE-LATGALE 120:119
JITLANDE-ROSTOKA 120:119
GORKIJA-SALONIKI 120:122
TOMBUKA-LEIPCIGA 120:127
VIDAUJA-GROZNIJA 120:13
PIEVOLGA-RUMBULA 120:134
MINDANAO-VATERLO 120:142
ZENTENE-TUNISIJA 120:17
FLORENCE-PAKROJA 120:18
PENKULE-HIROSIMA 120:19
ARAGONA-BRAZILJA 120:2
KAMPALA-ILINOISA 120:20
KOLGUJEVA-VANAGI 120:23
KURZEME-BRAZILJA 120:23
HUDZONA-SAULAINE 120:24
RAUDONE-MINDANAO 120:25
MINDANAO-ARIZONA 120:25
CEILONA-TELAVIVA 120:25
RAVENNA-GROZNIJA 120:26
KATMANDU-MIRNIJA 120:28
CEILONA-LEIPCIGA 120:29
ILMENIS-RUDAMINA 120:34
PERLOJA-TENESIJA 120:39
JITLANDE-CEILONA 120:39
BRISELE-KRIMULDA 120:39
MARVELE-KARLAILA 120:4
PASIENA-ETIOPIJA 120:4
SLOCENE-IGNALINA 120:42
BALTIJA-ILINOISA 120:43
HARTUMA-HIROSIMA 120:48
ZAMBIJA-RUDAMINA 120:56
FORMOZA-AIZVOLGA 120:6
ZAMBEZI-BEREZINA 120:62
RAVENNA-BRAZILJA 120:66
KALTENE-TENESIJA 120:67
KAPSUKA-ROZALIMA 120:69
NAHODKA-IGAUNIJA 120:70
VESTENDE-LAZDIJI 120:76
HERSONA-LUISVILA 120:76
DURBANA-PLOVDIVA 120:80
VESTENDE-HARBINA 120:83
ZEMGALE-PLOVDIVA 120:85
KAPSUKA-BEREZINA 120:89
ISIKULS-ILINOISA 120:92
KARTENA-DOMINIKA 120:93
KAMBIJA-DOMINIKA 120:99
MINDANAO-MARVELE 121:0
RAVENNA-TENERIFE 121:103
AMAZONE-LUISVILA 121:104
MUKDENA-BEREZINA 121:106
METELIS-UZBEKIJA 121:11
HUDZONA-MANHEIMA 121:11
RANGUNA-ARMAVIRA 121:118
LONDONA-AIZVOLGA 121:124
DOTMUNDA-DAIVANA 121:135
MEKSIKA-KRIEVIJA 121:135
ALABAMA-VIETALVA 121:136
VESTENDE-VIDAUJA 121:136
GAMBIJA-BRUKLINA 121:137
CEILONA-GARKALNE 121:139
JERSIKA-NIKOSINA 121:14
PEDEDZE-ROZALIMA 121:140
ARAGONA-TUNISIJA 121:140
SALVANA-UZBEKIJA 121:142
GVINEJA-PLOVDIVA 121:146
LONDONA-KRIEVIJA 121:17
RUMBULA-IGAUNIJA 121:23
VESTENDE-JERSIKA 121:23
MINDANAO-LOKARNA 121:24
ZEMGALE-ARMAVIRA 121:26
KURZEME-GARKALNE 121:29
TURCIJA-BRUKLINA 121:33
PLATONE-OZOLAINE 121:35
VALGUNDE-ARAGONA 121:36
VESTENDE-SAKSIJA 121:37
GDANSKA-NIKOSINA 121:4
LAZDIJI-LUISVILA 121:4
CEILONA-UZBEKIJA 121:45
RAUDONE-JAKUTIJA 121:46
SAIGONA-BAHREINA 121:48
ARIZONA-BRUKLINA 121:52
NAHODKA-BAIREITA 121:53
SIESIKI-ROZALIMA 121:58
ISIKULS-JAUNPILS 121:60
HERSONA-MANHEIMA 121:62
LAZDIJI-IGNALINA 121:67
BRRONKSA-GAMBIJA 121:67
SIESIKI-JAKUTIJA 121:7
VERDENA-BAHREINA 121:70
OREGONA-BEREZINA 121:74
GORKIJA-GROZNIJA 121:77
GAMBIJA-HIROSIMA 121:77
KATMANDU-TOBRUKA 121:79
ARTJOMA-AIZVOLGA 121:83
ARTJOMA-ILINOISA 121:87
ROSTOKA-UZBEKIJA 121:88
MUKDENA-MISISIPI 121:89
ARIZONA-RUDAMINA 121:9
ARTJOMA-BRUKLINA 121:96
FLORENCE-KURZEME 121:99
VIDUKLE-BAIREITA 122:101
NAHODKA-ADELAIDA 122:104
TAIZEME-PLOVDIVA 122:108
ARKTIKA-ETIOPIJA 122:109
BENGAZI-LUISVILA 122:11
GOTLANDE-TAIVANA 122:121
MENORKA-ARMAVIRA 122:125
VIETALVA-MENORKA 122:127
VALGUNDE-PERLOJA 122:130
LAZDONA-AIZVOLGA 122:132
DUBLINA-ROZALIMA 122:133
HUDZONA-PLOVDIVA 122:135
BRUNEJA-ADELAIDA 122:140
ARKTIKA-TELAVIVA 122:142
SAKSIJA-PLOVDIVA 122:143
MAKENZI-ROZALIMA 122:143
GORKIJA-TENESIJA 122:146
KAPSUKA-FRANCIJA 122:148
FLORENCE-SALIENA 122:150
MAKENZI-ADELAIDA 122:150
