100
SINSITIJA-LIZUMS 0:122
SALANTA-FEODOSIJA 97:2
FOLKSTONA-KINROSA 97:4
KRAKATAU-SOVETSKA 97:90
BIZERTA-FEODOSIJA 98:146
KINGSTONA-BEIRUTA 98:77
MENHETENA-PLIMUTA 98:83
SOVETSKA-ANGARSKA 98:87
PRIPETE-MORICSALA 99:0
JAKUTSKA-SOVETSKA 99:103
SOMERSETA-MANAUSA 99:119
BELOSTOKA-KALKUTA 99:20
LUCAVSALA-KANZASA 99:22
SALANTA-VALENSIJA 99:58
FOLKSTONA-BUENOSAIRESA 1:92
SINSITIJA-BUENOSAIRESA 127:59
MENHETENA-BUENOSAIRESA 128:52
LUCAVSALA-BUENOSAIRESA 135:136
SENTLUISA-BUENOSAIRESA 137:2
FEODOSIJA-BUENOSAIRESA 138:150
MORICSALA-BUENOSAIRESA 26:103
HAMILTONA-BUENOSAIRESA 26:59
MANHATANA-BUENOSAIRESA 26:80
KULAUTUVA-BUENOSAIRESA 31:143
SOMERSETA-BUENOSAIRESA 52:69
KINGSTONA-BUENOSAIRESA 64:74
VALENSIJA-BUENOSAIRESA 83:34
BELOSTOKA-BUENOSAIRESA 92:80
LEJASSTRAZDI-KUTAISI 63:29
PONAKSTEETLS-KUTAISI 70:104
KANZASSITIJA-KUTAISI 96:60
KANZASSITIJA-ZILAISKALNS 37:90
PONAKSTEETLS-ZILAISKALNS 41:133
LEJASSTRAZDI-ZILAISKALNS 49:118
KANZASSITIJA-ALTAJS 117:129
LEJASSTRAZDI-ALTAJS 17:132
PONAKSTEETLS-ALTAJS 81:5
BUENOSAIRESA-ALTAJS 83:41
LEJASSTRAZDI-VADAKSTE 65:131
PONAKSTEETLS-VADAKSTE 66:34
LEJASSTRAZDI-PONAKSTEETLS 69:4
KINGSTONA-MORICSALA 0:44
KULAUTUVA-LUCAVSALA 10:68
LUCAVSALA-MORICSALA 106:23
FOLKSTONA-MORICSALA 110:149
SOMERSETA-LUCAVSALA 118:75
MENHETENA-LUCAVSALA 121:79
HAMILTONA-MORICSALA 127:20
VALENSIJA-LUCAVSALA 132:55
HAMILTONA-LUCAVSALA 136:15
FEODOSIJA-MORICSALA 27:3
BELOSTOKA-LUCAVSALA 30:126
MANHATANA-MORICSALA 36:47
KULAUTUVA-MORICSALA 36:52
BELOSTOKA-MORICSALA 38:66
MANHATANA-LUCAVSALA 39:134
SENTLUISA-MORICSALA 40:81
VALENSIJA-MORICSALA 57:137
FEODOSIJA-LUCAVSALA 59:92
SINSITIJA-LUCAVSALA 6:128
SOMERSETA-MORICSALA 6:98
MENHETENA-MORICSALA 64:38
SENTLUISA-LUCAVSALA 70:18
SINSITIJA-MORICSALA 71:47
FOLKSTONA-LUCAVSALA 82:58
KINGSTONA-LUCAVSALA 94:71
VAGADUGU-SKAISTKALNE 13:138
HOLIVUDA-SKAISTKALNE 50:49
BELFASTA-ZILAISKALNS 119:71
EVERESTS-SAULESKALNS 124:36
ALAUKSTS-SAULESKALNS 128:90
VADAKSTE-ZILAISKALNS 35:44
VAGADUGU-SAULESKALNS 4:119
HOLIVUDA-ZILAISKALNS 46:34
ALAUKSTS-ZILAISKALNS 46:76
VAGADUGU-ZILAISKALNS 49:78
EVERESTS-ZILAISKALNS 63:124
VADAKSTE-SAULESKALNS 75:133
HOLIVUDA-SAULESKALNS 9:62
KRAKATAU-SAULESKALNS 92:146
BELFASTA-SAULESKALNS 97:128
KRAKATAU-ZILAISKALNS 99:104
GREITSLEIVLEIKS-ALTAJS 146:86
MACESTA-LEJASSTRAZDI 1:94
UTREHTA-LEJASSTRAZDI 110:131
ERFURTE-LEJASSTRAZDI 113:30
KALKUTA-LEJASSTRAZDI 116:121
ARARATS-LEJASSTRAZDI 119:107
TORONTO-LEJASSTRAZDI 12:27
EIFRATA-LEJASSTRAZDI 12:59
DORSETA-LEJASSTRAZDI 120:111
KARPATI-LEJASSTRAZDI 121:47
TRIESTE-LEJASSTRAZDI 122:88
ATLANTA-LEJASSTRAZDI 140:112
BIZERTA-LEJASSTRAZDI 141:8
PLIMUTA-LEJASSTRAZDI 142:7
TARENTO-LEJASSTRAZDI 147:66
KUVEITA-LEJASSTRAZDI 17:138
VAINUTA-LEJASSTRAZDI 2:74
TOLJATI-LEJASSTRAZDI 25:12
KUMPOTE-LEJASSTRAZDI 34:119
AIZPUTE-LEJASSTRAZDI 47:32
DUBULTI-LEJASSTRAZDI 51:127
SALANTA-LEJASSTRAZDI 55:66
VORKUTA-LEJASSTRAZDI 56:103
KAUNATA-LEJASSTRAZDI 63:34
VALLETA-LEJASSTRAZDI 64:80
LAPLATA-LEJASSTRAZDI 64:84
BEIRUTA-LEJASSTRAZDI 70:58
PRIPETE-LEJASSTRAZDI 76:91
BELOSTOKA-MANHATANA 100:6
MENHETENA-MANHATANA 144:124
FOLKSTONA-MANHATANA 39:70
KULAUTUVA-MANHATANA 41:24
HAMILTONA-MANHATANA 42:57
SENTLUISA-MANHATANA 48:30
SINSITIJA-MANHATANA 57:43
KINGSTONA-MANHATANA 66:93
GREITSLEIVLEIKS-ANGARSKA 37:79
PONAKSTEETLS-SARANSKA 145:69
LEJASSTRAZDI-BRJANSKA 21:95
PONAKSTEETLS-LUGANSKA 36:32
KANZASSITIJA-BRJANSKA 4:116
KANZASSITIJA-SARANSKA 57:132
LEJASSTRAZDI-LUGANSKA 60:40
PONAKSTEETLS-BRJANSKA 66:82
KANZASSITIJA-LUGANSKA 85:5
LEJASSTRAZDI-SARANSKA 9:123
LEJASSTRAZDI-KAVARSKA 10:46
PONAKSTEETLS-ANGARSKA 103:18
KANZASSITIJA-KAVARSKA 117:137
LEJASSTRAZDI-ANGARSKA 3:64
KANZASSITIJA-ANGARSKA 82:47
PONAKSTEETLS-KAVARSKA 87:80
SEVASTOPOLE-MADRASA 100:135
SKAISTKALNE-KANZASA 102:2
SKAISTKALNE-TEKSASA 107:44
SAULESKALNS-TEKSASA 108:78
KONEKTIKUTA-KANZASA 11:66
KESONSITIJA-TEKSASA 114:140
JUGLASCIEMS-TEKSASA 115:65
ZILAISKALNS-TEKSASA 117:37
KESONSITIJA-MADRASA 12:5
SAULESKALNS-MADRASA 134:124
MURMASTIENE-KANZASA 139:137
KESONSITIJA-KANZASA 19:25
MURMASTIENE-MADRASA 19:43
MURMASTIENE-TEKSASA 20:144
ZILAISKALNS-KANZASA 20:77
SEVASTOPOLE-TEKSASA 55:57
JUGLASCIEMS-MADRASA 59:110
ZILAISKALNS-MADRASA 68:127
KONEKTIKUTA-MADRASA 76:85
SAULESKALNS-KANZASA 84:150
SKAISTKALNE-MADRASA 89:40
KONEKTIKUTA-TEKSASA 90:92
SEVASTOPOLE-KANZASA 95:67
JUGLASCIEMS-KANZASA 96:137
ZILAISKALNS-JUGLASCIEMS 100:11
SEVASTOPOLE-JUGLASCIEMS 100:29
KESONSITIJA-JUGLASCIEMS 124:136
SAULESKALNS-JUGLASCIEMS 127:54
SKAISTKALNE-JUGLASCIEMS 142:98
KONEKTIKUTA-JUGLASCIEMS 53:30
MURMASTIENE-JUGLASCIEMS 87:19
SEVASTOPOLE-NEBRASKA 104:113
ZILAISKALNS-ATABASKA 11:43
ZILAISKALNS-NEBRASKA 114:23
SAULESKALNS-NEBRASKA 121:65
MURMASTIENE-ATABASKA 132:21
KONEKTIKUTA-ATABASKA 43:85
SEVASTOPOLE-ATABASKA 59:122
KONEKTIKUTA-NEBRASKA 78:116
MURMASTIENE-NEBRASKA 87:67
SKAISTKALNE-ATABASKA 9:30
SKAISTKALNE-NEBRASKA 95:24
SAULESKALNS-ATABASKA 99:47
KONEKTIKUTA-DONBASS 104:30
SKAISTKALNE-DONBASS 107:13
SKAISTKALNE-KUZBASS 107:54
MURMASTIENE-KUZBASS 119:65
MURMASTIENE-DONBASS 38:76
KONEKTIKUTA-KUZBASS 66:91
SEVASTOPOLE-KUZBASS 95:111
SEVASTOPOLE-DONBASS 95:119
MURMASTIENE-KANZASSITIJA 110:120
KONEKTIKUTA-KANZASSITIJA 114:141
SEVASTOPOLE-KANZASSITIJA 35:100
SKAISTKALNE-KANZASSITIJA 37:12
KONEKTIKUTA-BELFASTA 114:38
MURMASTIENE-BELFASTA 26:146
SKAISTKALNE-BELFASTA 31:73
SEVASTOPOLE-BELFASTA 63:28
SKAISTKALNE-MURMASTIENE 144:70
SEVASTOPOLE-MURMASTIENE 46:52
KONEKTIKUTA-MURMASTIENE 56:27
KONEKTIKUTA-LAPLATA 119:64
SKAISTKALNE-KAUNATA 121:96
SEVASTOPOLE-EIFRATA 125:35
SEVASTOPOLE-KAUNATA 130:77
SEVASTOPOLE-LAPLATA 139:18
SKAISTKALNE-LAPLATA 146:10
KONEKTIKUTA-EIFRATA 146:95
KONEKTIKUTA-KAUNATA 79:24
SKAISTKALNE-EIFRATA 95:3
GREITSLEIVLEIKS-ATABASKA 143:129
SEVASTOPOLE-MANHATANA 117:14
SKAISTKALNE-MANHATANA 135:15
KONEKTIKUTA-MANHATANA 88:39
KONEKTIKUTA-KRAKATAU 131:36
SEVASTOPOLE-KRAKATAU 61:82
SKAISTKALNE-KRAKATAU 93:60
SEVASTOPOLE-KARPATI 12:71
KONEKTIKUTA-KARPATI 2:147
SKAISTKALNE-TOLJATI 29:46
SKAISTKALNE-KARPATI 32:50
SEVASTOPOLE-TOLJATI 61:59
KONEKTIKUTA-TOLJATI 75:31
KULAUTUVA-KRAKATAU 108:46
MENHETENA-KRAKATAU 120:16
FOLKSTONA-KRAKATAU 122:30
KINGSTONA-KRAKATAU 46:85
SINSITIJA-KRAKATAU 55:131
SENTLUISA-KRAKATAU 67:127
BELOSTOKA-KRAKATAU 81:88
HAMILTONA-KRAKATAU 91:36
KANZASSITIJA-MANAUSA 11:12
BUENOSAIRESA-MANAUSA 41:129
LEJASSTRAZDI-MANAUSA 51:37
PONAKSTEETLS-MANAUSA 95:99
KRAKATAU-BRATISLAVA 108:3
HOLIVUDA-BRATISLAVA 112:145
VAGADUGU-BRATISLAVA 143:70
BELFASTA-BRATISLAVA 145:93
ALAUKSTS-BRATISLAVA 33:0
VADAKSTE-BRATISLAVA 41:74
EVERESTS-BRATISLAVA 87:7
PONAKSTEETLS-LUCAVSALA 105:68
KANZASSITIJA-LUCAVSALA 137:9
LEJASSTRAZDI-LUCAVSALA 99:58
LEJASSTRAZDI-ATABASKA 101:129
PONAKSTEETLS-ATABASKA 116:144
KANZASSITIJA-ATABASKA 43:108
PONAKSTEETLS-KUZBASS 10:41
KANZASSITIJA-DONBASS 16:139
KANZASSITIJA-KUZBASS 26:105
PONAKSTEETLS-DONBASS 54:30
LEJASSTRAZDI-KUZBASS 9:12
LEJASSTRAZDI-DONBASS 93:133
GREITSLEIVLEIKS-BEBRUSI 101:124
GREITSLEIVLEIKS-BRATISLAVA 24:12
GREITSLEIVLEIKS-BRJANSKA 105:126
GREITSLEIVLEIKS-BUENOSAIRESA 45:140
HAMILTONA-JUGLASCIEMS 116:12
SOMERSETA-JUGLASCIEMS 119:57
KULAUTUVA-JUGLASCIEMS 123:66
KINGSTONA-JUGLASCIEMS 14:79
VALENSIJA-JUGLASCIEMS 27:35
SINSITIJA-JUGLASCIEMS 37:57
SENTLUISA-JUGLASCIEMS 38:19
BELOSTOKA-JUGLASCIEMS 41:133
MENHETENA-JUGLASCIEMS 44:40
FEODOSIJA-JUGLASCIEMS 61:85
FOLKSTONA-JUGLASCIEMS 9:143
MANHATANA-JUGLASCIEMS 93:145
SAULESKALNS-MORICSALA 115:69
ZILAISKALNS-MORICSALA 121:92
KESONSITIJA-MORICSALA 131:139
MURMASTIENE-MORICSALA 141:84
SKAISTKALNE-MORICSALA 2:33
JUGLASCIEMS-MORICSALA 33:102
KONEKTIKUTA-MORICSALA 33:28
SEVASTOPOLE-MORICSALA 75:110
SENTLUISA-HOLIVUDA 19:111
LEJASSTRAZDI-FEODOSIJA 124:60
PONAKSTEETLS-FEODOSIJA 49:29
KANZASSITIJA-FEODOSIJA 6:139
SENTLUISA-PRIPETE 0:50
FOLKSTONA-PRIPETE 10:28
ALAUKSTS-VADAKSTE 100:67
MENHETENA-ERFURTE 101:47
MENHETENA-KUMPOTE 104:55
BELOSTOKA-KUMPOTE 11:78
SINSITIJA-AIZPUTE 112:124
KINGSTONA-PRIPETE 113:62
KRAKATAU-VADAKSTE 114:113
FOLKSTONA-TRIESTE 12:4
KULAUTUVA-SANHOSE 12:78
BELOSTOKA-ERFURTE 122:62
KINGSTONA-SANHOSE 127:92
KULAUTUVA-PRIPETE 13:130
HAMILTONA-KUMPOTE 130:31
HAMILTONA-SANHOSE 135:43
MENHETENA-AIZPUTE 136:139
MENHETENA-PRIPETE 137:31
SINSITIJA-PRIPETE 141:143
MENHETENA-TRIESTE 146:96
SINSITIJA-TRIESTE 150:54
KINGSTONA-ERFURTE 17:1
FOLKSTONA-ERFURTE 17:23
SENTLUISA-SANHOSE 19:22
BELOSTOKA-SANHOSE 27:139
BELOSTOKA-TRIESTE 28:103
FOLKSTONA-AIZPUTE 28:68
HAMILTONA-AIZPUTE 29:22
FEODOSIJA-SANHOSE 30:32
MENHETENA-SANHOSE 30:63
MANHATANA-SANHOSE 34:87
KINGSTONA-AIZPUTE 35:24
HAMILTONA-PRIPETE 36:62
FOLKSTONA-KUMPOTE 37:41
SENTLUISA-KUMPOTE 43:93
KULAUTUVA-KUMPOTE 47:68
KINGSTONA-KUMPOTE 49:21
HOLIVUDA-VADAKSTE 5:84
SENTLUISA-AIZPUTE 50:6
KULAUTUVA-AIZPUTE 51:37
SENTLUISA-TRIESTE 53:57
SENTLUISA-ERFURTE 54:77
SINSITIJA-ERFURTE 62:68
KULAUTUVA-ERFURTE 64:70
HAMILTONA-TRIESTE 69:109
SINSITIJA-KUMPOTE 69:51
VALENSIJA-SANHOSE 73:62
EVERESTS-VADAKSTE 75:69
FOLKSTONA-SANHOSE 77:37
KULAUTUVA-TRIESTE 79:13
BELOSTOKA-PRIPETE 88:20
SINSITIJA-SANHOSE 9:146
VAGADUGU-VADAKSTE 90:54
HAMILTONA-ERFURTE 90:65
KINGSTONA-TRIESTE 93:139
SOMERSETA-SANHOSE 95:145
BELOSTOKA-AIZPUTE 97:35
KRAKATAU-PONAKSTEETLS 113:15
HOLIVUDA-PONAKSTEETLS 118:133
ALAUKSTS-PONAKSTEETLS 21:118
VAGADUGU-PONAKSTEETLS 67:87
EVERESTS-PONAKSTEETLS 7:70
KRAKATAU-GREITSLEIVLEIKS 107:54
VADAKSTE-GREITSLEIVLEIKS 137:101
VAGADUGU-GREITSLEIVLEIKS 143:142
BELFASTA-GREITSLEIVLEIKS 145:114
ALAUKSTS-GREITSLEIVLEIKS 23:76
EVERESTS-GREITSLEIVLEIKS 29:57
HOLIVUDA-GREITSLEIVLEIKS 9:113
BUENOSAIRESA-SASEKSA 104:46
LEJASSTRAZDI-SASEKSA 110:4
PONAKSTEETLS-SASEKSA 35:61
KANZASSITIJA-SASEKSA 80:129
PONAKSTEETLS-ENGELSA 115:33
BUENOSAIRESA-ENGELSA 30:66
LEJASSTRAZDI-ENGELSA 54:137
KANZASSITIJA-ENGELSA 99:119
KUMPOTE-JUGLASCIEMS 101:137
PLIMUTA-JUGLASCIEMS 102:74
BEBRUSI-JUGLASCIEMS 11:17
TARENTO-JUGLASCIEMS 113:21
TRIESTE-JUGLASCIEMS 116:125
BIZERTA-JUGLASCIEMS 116:15
KUZBASS-JUGLASCIEMS 116:25
ATLANTA-JUGLASCIEMS 119:45
KAUNATA-JUGLASCIEMS 12:130
VALLETA-JUGLASCIEMS 122:54
LAPLATA-JUGLASCIEMS 123:13
ELBRUSS-JUGLASCIEMS 130:2
PEIPUSS-JUGLASCIEMS 130:63
BEIRUTA-JUGLASCIEMS 134:11
SANHOSE-JUGLASCIEMS 140:33
ARARATS-JUGLASCIEMS 143:139
UTREHTA-JUGLASCIEMS 20:38
DONBASS-JUGLASCIEMS 22:1
EIFRATA-JUGLASCIEMS 27:76
TORONTO-JUGLASCIEMS 33:126
TOLJATI-JUGLASCIEMS 40:39
DORSETA-JUGLASCIEMS 40:57
ERFURTE-JUGLASCIEMS 47:16
TBILISI-JUGLASCIEMS 51:53
VAINUTA-JUGLASCIEMS 61:145
KUVEITA-JUGLASCIEMS 61:54
DUBULTI-JUGLASCIEMS 63:119
VORKUTA-JUGLASCIEMS 72:76
MACESTA-JUGLASCIEMS 84:81
SALANTA-JUGLASCIEMS 86:38
PRIPETE-JUGLASCIEMS 89:44
KUTAISI-JUGLASCIEMS 90:46
AIZPUTE-JUGLASCIEMS 97:129
KARPATI-JUGLASCIEMS 98:139
KALKUTA-JUGLASCIEMS 99:91
KULAUTUVA-MENHETENA 129:111
BELOSTOKA-MENHETENA 45:73
SENTLUISA-MENHETENA 63:148
HAMILTONA-MENHETENA 66:68
FOLKSTONA-MENHETENA 66:85
SINSITIJA-MENHETENA 72:11
KINGSTONA-MENHETENA 84:94
TOLJATI-MURMASTIENE 0:112
ATLANTA-MURMASTIENE 0:115
UTREHTA-MURMASTIENE 104:10
VORKUTA-MURMASTIENE 112:24
VAINUTA-MURMASTIENE 113:49
KUVEITA-MURMASTIENE 121:103
PRIPETE-MURMASTIENE 123:38
KAUNATA-MURMASTIENE 147:139
KALKUTA-MURMASTIENE 147:4
MACESTA-MURMASTIENE 149:26
BIZERTA-MURMASTIENE 150:86
TARENTO-MURMASTIENE 17:117
KUMPOTE-MURMASTIENE 17:53
SALANTA-MURMASTIENE 30:12
TORONTO-MURMASTIENE 36:128
DUBULTI-MURMASTIENE 39:58
BEIRUTA-MURMASTIENE 48:32
KARPATI-MURMASTIENE 52:43
VALLETA-MURMASTIENE 54:53
PLIMUTA-MURMASTIENE 54:92
LAPLATA-MURMASTIENE 64:84
EIFRATA-MURMASTIENE 7:25
TRIESTE-MURMASTIENE 81:35
ERFURTE-MURMASTIENE 9:126
DORSETA-MURMASTIENE 92:21
AIZPUTE-MURMASTIENE 98:45
ARARATS-MURMASTIENE 99:118
GREITSLEIVLEIKS-ENGELSA 60:74
PONAKSTEETLS-VALENSIJA 48:79
KANZASSITIJA-VALENSIJA 53:14
LEJASSTRAZDI-VALENSIJA 91:12
PONAKSTEETLS-VENERS 103:145
LEJASSTRAZDI-VENERS 22:150
BUENOSAIRESA-VENERS 23:128
KANZASSITIJA-VENERS 83:113
KANZASSITIJA-SOMERSETA 19:62
LEJASSTRAZDI-SOMERSETA 35:42
PONAKSTEETLS-SOMERSETA 39:149
MAPUTU-BUENOSAIRESA 114:130
NUKUSU-BUENOSAIRESA 26:91
ALATAU-BUENOSAIRESA 80:36
SKAISTKALNE-SAULESKALNS 100:131
MURMASTIENE-SAULESKALNS 130:81
SEVASTOPOLE-SAULESKALNS 137:146
KONEKTIKUTA-SAULESKALNS 31:135
SEVASTOPOLE-EVERESTS 130:100
SKAISTKALNE-EVERESTS 131:51
KONEKTIKUTA-EVERESTS 134:33
KINGSTONA-SOMERSETA 10:121
MENHETENA-SOMERSETA 11:93
KONEKTIKUTA-VALLETA 123:48
KULAUTUVA-SOMERSETA 132:49
FEODOSIJA-SOMERSETA 139:94
MANHATANA-SOMERSETA 14:8
FOLKSTONA-SOMERSETA 146:78
SINSITIJA-SOMERSETA 23:31
SKAISTKALNE-DORSETA 30:124
SEVASTOPOLE-VALLETA 34:96
BELOSTOKA-SOMERSETA 35:149
HAMILTONA-SOMERSETA 64:8
KONEKTIKUTA-DORSETA 73:36
SENTLUISA-SOMERSETA 74:31
SKAISTKALNE-VALLETA 84:27
SEVASTOPOLE-DORSETA 91:19
VALENSIJA-SOMERSETA 92:144
SEVASTOPOLE-PRIPETE 138:61
SKAISTKALNE-PRIPETE 147:45
KONEKTIKUTA-PRIPETE 48:146
KONEKTIKUTA-MENHETENA 105:21
SEVASTOPOLE-MENHETENA 107:87
SKAISTKALNE-MENHETENA 115:66
SALANTA-PONAKSTEETLS 1:49
KUMPOTE-PONAKSTEETLS 101:89
KAUNATA-PONAKSTEETLS 104:86
VALLETA-PONAKSTEETLS 111:76
PLIMUTA-PONAKSTEETLS 121:67
ARARATS-PONAKSTEETLS 122:106
EIFRATA-PONAKSTEETLS 125:0
TOLJATI-PONAKSTEETLS 130:75
LAPLATA-PONAKSTEETLS 131:143
BEIRUTA-PONAKSTEETLS 14:2
VORKUTA-PONAKSTEETLS 140:92
KARPATI-PONAKSTEETLS 145:16
PRIPETE-PONAKSTEETLS 145:30
TARENTO-PONAKSTEETLS 147:73
AIZPUTE-PONAKSTEETLS 2:8
DORSETA-PONAKSTEETLS 22:71
ATLANTA-PONAKSTEETLS 25:40
TRIESTE-PONAKSTEETLS 28:85
MACESTA-PONAKSTEETLS 4:35
KALKUTA-PONAKSTEETLS 49:73
KUVEITA-PONAKSTEETLS 68:89
ERFURTE-PONAKSTEETLS 70:110
UTREHTA-PONAKSTEETLS 75:14
BIZERTA-PONAKSTEETLS 79:45
TORONTO-PONAKSTEETLS 81:75
DUBULTI-PONAKSTEETLS 86:119
VAINUTA-PONAKSTEETLS 87:40
KANZASSITIJA-SOVETSKA 31:54
PONAKSTEETLS-SOVETSKA 44:1
LEJASSTRAZDI-SOVETSKA 65:60
LEJASSTRAZDI-BELFASTA 32:124
PONAKSTEETLS-BELFASTA 59:2
GREITSLEIVLEIKS-FEODOSIJA 97:112
PONAKSTEETLS-MEMFISA 13:63
KANZASSITIJA-MEMFISA 46:93
BUENOSAIRESA-MEMFISA 90:19
LEJASSTRAZDI-MEMFISA 99:15
SENTLUISA-VAGADUGU 83:84
LEJASSTRAZDI-SANHOSE 123:51
PONAKSTEETLS-SANHOSE 31:78
KANZASSITIJA-SANHOSE 91:46
KONEKTIKUTA-UTREHTA 109:120
SEVASTOPOLE-UTREHTA 113:134
SKAISTKALNE-UTREHTA 26:113
BELOSTOKA-TBILISI 100:19
BELOSTOKA-DUBULTI 102:80
KINGSTONA-KUTAISI 107:58
KULAUTUVA-KUTAISI 108:133
SINSITIJA-BEBRUSI 108:30
HAMILTONA-TBILISI 109:115
HAMILTONA-BEBRUSI 109:19
SINSITIJA-DUBULTI 111:73
HAMILTONA-TOLJATI 115:112
FOLKSTONA-KARPATI 116:21
KULAUTUVA-BEBRUSI 121:58
FEODOSIJA-KUTAISI 122:120
FOLKSTONA-KUTAISI 122:16
MANHATANA-BEBRUSI 129:78
HAMILTONA-KUTAISI 13:118
MENHETENA-KUTAISI 134:53
FOLKSTONA-BEBRUSI 135:64
KULAUTUVA-TOLJATI 142:89
HAMILTONA-KARPATI 16:74
VALENSIJA-TBILISI 2:19
BELOSTOKA-TOLJATI 20:48
FEODOSIJA-TBILISI 21:103
SENTLUISA-DUBULTI 25:76
KULAUTUVA-KARPATI 27:7
MENHETENA-BEBRUSI 27:74
FOLKSTONA-TOLJATI 32:113
KINGSTONA-KARPATI 32:54
KINGSTONA-DUBULTI 36:58
KULAUTUVA-DUBULTI 37:22
MANHATANA-KUTAISI 40:105
KINGSTONA-TBILISI 41:8
SINSITIJA-TBILISI 41:93
FOLKSTONA-TBILISI 43:70
SENTLUISA-KUTAISI 45:143
BELOSTOKA-KARPATI 45:82
SINSITIJA-TOLJATI 46:4
VALENSIJA-KUTAISI 46:51
SINSITIJA-KUTAISI 50:10
HAMILTONA-DUBULTI 59:66
KINGSTONA-TOLJATI 60:146
BELOSTOKA-BEBRUSI 62:33
MANHATANA-TBILISI 79:62
SENTLUISA-TBILISI 81:11
KINGSTONA-BEBRUSI 82:13
KULAUTUVA-TBILISI 83:58
FOLKSTONA-DUBULTI 84:28
SENTLUISA-BEBRUSI 89:1
FEODOSIJA-BEBRUSI 89:35
BELOSTOKA-KUTAISI 9:101
SINSITIJA-KARPATI 91:73
MENHETENA-TBILISI 92:31
SENTLUISA-KARPATI 95:91
VALENSIJA-BEBRUSI 96:126
SENTLUISA-TOLJATI 97:5
PONAKSTEETLS-MORICSALA 118:41
LEJASSTRAZDI-MORICSALA 138:83
KANZASSITIJA-MORICSALA 41:58
ATABASKA-JUGLASCIEMS 100:60
KIROVSKA-JUGLASCIEMS 115:146
JAKUTSKA-JUGLASCIEMS 12:64
BELFASTA-JUGLASCIEMS 125:126
SARANSKA-JUGLASCIEMS 125:127
SOVETSKA-JUGLASCIEMS 127:148
NEBRASKA-JUGLASCIEMS 127:53
BRJANSKA-JUGLASCIEMS 129:71
EVERESTS-JUGLASCIEMS 147:108
IRKUTSKA-JUGLASCIEMS 148:48
VAGADUGU-JUGLASCIEMS 33:26
LUGANSKA-JUGLASCIEMS 46:79
ALAUKSTS-JUGLASCIEMS 58:101
KAHOVSKA-JUGLASCIEMS 58:132
KAVARSKA-JUGLASCIEMS 74:144
VADAKSTE-JUGLASCIEMS 83:61
HOLIVUDA-JUGLASCIEMS 86:98
ANGARSKA-JUGLASCIEMS 96:98
KRAKATAU-JUGLASCIEMS 97:136
ALAUKSTS-MURMASTIENE 139:14
EVERESTS-MURMASTIENE 23:28
KRAKATAU-MURMASTIENE 62:143
VAGADUGU-MURMASTIENE 70:144
HOLIVUDA-MURMASTIENE 70:21
VALLETA-KESONSITIJA 0:55
SINSITIJA-FEODOSIJA 10:149
KINGSTONA-FEODOSIJA 102:142
BIZERTA-KESONSITIJA 102:67
ELBRUSS-KESONSITIJA 104:85
BELOSTOKA-FEODOSIJA 109:116
DORSETA-KESONSITIJA 11:130
VORKUTA-KESONSITIJA 110:113
UTREHTA-KESONSITIJA 110:76
HAMILTONA-VALENSIJA 111:96
MANHATANA-VALENSIJA 117:121
KINGSTONA-SINSITIJA 117:50
KUZBASS-KESONSITIJA 126:104
KUVEITA-KESONSITIJA 128:49
BELOSTOKA-SINSITIJA 135:2
ATLANTA-KESONSITIJA 136:111
KAUNATA-KESONSITIJA 14:15
TRIESTE-KESONSITIJA 146:111
KULAUTUVA-VALENSIJA 146:118
MAPUTU-KANZASSITIJA 16:130
SENTLUISA-VALENSIJA 16:92
HAMILTONA-FEODOSIJA 16:99
DONBASS-KESONSITIJA 21:44
SENTLUISA-FEODOSIJA 23:41
EIFRATA-KESONSITIJA 27:74
SINSITIJA-VALENSIJA 3:47
MACESTA-KESONSITIJA 30:18
KARPATI-KESONSITIJA 32:107
KULAUTUVA-FEODOSIJA 32:109
MENHETENA-FEODOSIJA 33:130
FOLKSTONA-SINSITIJA 34:43
VAINUTA-KESONSITIJA 35:120
BEIRUTA-KESONSITIJA 37:92
FOLKSTONA-FEODOSIJA 38:40
BELOSTOKA-VALENSIJA 38:76
KULAUTUVA-SINSITIJA 49:20
VALENSIJA-FEODOSIJA 53:61
KALKUTA-KESONSITIJA 54:139
ALATAU-KANZASSITIJA 54:79
SALANTA-KESONSITIJA 59:86
SENTLUISA-SINSITIJA 64:1
PRIPETE-KESONSITIJA 66:103
DUBULTI-KESONSITIJA 67:119
FOLKSTONA-VALENSIJA 7:120
ERFURTE-KESONSITIJA 70:14
LAPLATA-KESONSITIJA 70:47
TORONTO-KESONSITIJA 79:100
AIZPUTE-KESONSITIJA 81:119
ARARATS-KESONSITIJA 81:37
PEIPUSS-KESONSITIJA 81:46
TOLJATI-KESONSITIJA 82:121
MANHATANA-FEODOSIJA 82:35
TARENTO-KESONSITIJA 83:11
KINGSTONA-VALENSIJA 83:144
NUKUSU-KANZASSITIJA 89:119
PLIMUTA-KESONSITIJA 92:23
KUMPOTE-KESONSITIJA 94:143
MENHETENA-VALENSIJA 94:90
HAMILTONA-SINSITIJA 94:96
SENTLUISA-KONEKTIKUTA 118:148
HAMILTONA-KONEKTIKUTA 121:41
KINGSTONA-KONEKTIKUTA 17:28
FOLKSTONA-KONEKTIKUTA 19:128
KULAUTUVA-KONEKTIKUTA 66:28
BELOSTOKA-KONEKTIKUTA 82:104
ARARATS-SANANTONIO 43:87
